#code	rmsd
1bcu_11	0.997869
1bcu_220	1.1296700000000002
1bcu_270	3.77101
1bcu_309	0.357269
1bcu_33	1.20156
1bcu_334	0.6293310000000001
1bcu_362	0.594971
1bcu_397	0.657694
1bcu_406	0.8680459999999999
1bcu_424	1.8266099999999998
1bcu_442	1.9589900000000002
1bcu_451	3.9736599999999997
1bcu_454	4.96357
1bcu_462	3.12235
1bcu_469	2.96208
1bcu_473	2.55819
1bcu_479	1.44231
1bcu_483	2.15232
1bcu_495	1.7764900000000001
1bcu_564	6.10789
1bcu_585	5.88501
1bcu_591	5.02959
1bcu_595	3.9252199999999995
1bcu_608	7.0783
1bcu_617	3.35655
1bcu_634	3.0789
1bcu_653	3.52021
1bcu_661	2.09729
1bcu_684	0.915892
1bcu_695	3.65708
1bcu_701	2.56975
1bcu_703	0.606196
1bcu_708	8.31902
1bcu_712	8.480839999999999
1bcu_715	6.61211
1bcu_717	7.3461
1bcu_718	9.331710000000001
1bcu_720	4.92091
1bcu_725	6.41061
1bcu_729	5.275469999999999
1bcu_738	6.50128
1bcu_741	8.664589999999999
1bcu_742	7.91684
1bcu_745	7.73038
1bcu_749	8.02816
1bcu_752	6.6605
1bcu_753	9.223980000000001
1bcu_754	8.32132
1bcu_756	6.10433
1bcu_758	8.660260000000001
1bcu_761	8.74949
1bcu_764	8.97059
1bcu_765	10.0489
1bcu_772	7.21362
1bcu_773	9.43401
1bcu_777	9.24553
1bcu_778	10.0658
1bcu_782	9.65847
1bcu_788	9.72919
1bcu_790	9.58588
1bcu_803	2.70663
1bcu_806	0.713022
1bcu_813	7.67483
1bcu_825	1.23747
1bcu_828	3.7051300000000005
1bcu_829	3.97086
1bcu_843	6.75702
1bcu_850	7.93752
1bcu_852	2.25717
1bcu_855	7.0037
1bcu_862	9.1082
1bcu_869	4.14506
1bcu_878	5.7523800000000005
1bcu_881	8.00262
1bcu_885	5.21441
1bcu_886	6.02411
1bcu_887	4.660480000000001
1bcu_888	5.53929
1bcu_890	4.48153
1bcu_893	8.631
1bcu_898	5.75424
1bcu_903	1.57715
1bcu_915	7.97337
1bcu_919	3.88274
1bcu_920	3.5215
1bcu_923	0.753189
1bcu_931	7.66148
1bcu_933	5.38039
1bcu_939	4.83024
1bcu_949	3.25034
1bcu_967	5.3232800000000005
1bcu_971	8.27323
1bcu_977	4.78793
1bcu_980	5.87481
1bcu_981	2.97587
1bcu_983	5.06083
1bcu_984	8.61835
1bcu_989	6.10555
1bcu_991	7.05645
1bcu_996	1.9242599999999999
1bcu_ligand	0.0
