#code	rmsd
1gpn_109	1.20875
1gpn_252	0.372501
1gpn_299	0.34656
1gpn_330	0.5144989999999999
1gpn_401	0.978874
1gpn_404	1.47469
1gpn_405	0.558809
1gpn_407	0.580158
1gpn_422	3.88236
1gpn_435	0.996555
1gpn_443	0.923111
1gpn_446	2.95567
1gpn_451	1.40457
1gpn_459	4.4089599999999995
1gpn_466	4.39991
1gpn_471	1.93963
1gpn_475	1.16297
1gpn_477	0.9543969999999999
1gpn_481	5.11298
1gpn_483	4.26556
1gpn_490	4.55773
1gpn_549	4.05615
1gpn_551	4.984369999999999
1gpn_553	6.00975
1gpn_555	2.85018
1gpn_556	4.79255
1gpn_578	4.94222
1gpn_589	3.97611
1gpn_596	4.3945300000000005
1gpn_600	1.08561
1gpn_61	0.871209
1gpn_615	2.6926
1gpn_617	4.61471
1gpn_638	1.9301099999999998
1gpn_653	4.2638300000000005
1gpn_657	4.26202
1gpn_658	2.66662
1gpn_662	1.32849
1gpn_675	2.05514
1gpn_682	5.3295699999999995
1gpn_683	3.6001300000000005
1gpn_684	6.07153
1gpn_689	1.39775
1gpn_759	4.3280199999999995
1gpn_768	6.1483099999999995
1gpn_775	3.95756
1gpn_779	3.8483199999999997
1gpn_781	4.8490400000000005
1gpn_782	3.7147099999999997
1gpn_784	6.4273
1gpn_785	3.22578
1gpn_786	6.44439
1gpn_794	5.33376
1gpn_796	5.785080000000001
1gpn_868	4.71552
1gpn_885	4.93781
1gpn_ligand	0.0
