#code	rmsd
3up2_100	2.15694
3up2_106	1.2931700000000002
3up2_112	7.485
3up2_113	6.60418
3up2_156	8.36253
3up2_160	7.04316
3up2_167	8.340580000000001
3up2_168	6.194719999999999
3up2_189	1.01894
3up2_194	8.68126
3up2_198	2.52498
3up2_206	8.42579
3up2_220	0.499829
3up2_231	0.8192200000000001
3up2_238	0.574126
3up2_247	8.2298
3up2_276	1.0898299999999999
3up2_29	0.79898
3up2_291	3.46993
3up2_302	0.697353
3up2_310	7.967160000000001
3up2_334	0.535759
3up2_340	5.0896300000000005
3up2_345	0.937667
3up2_349	5.81525
3up2_358	4.8006400000000005
3up2_363	3.89111
3up2_385	8.43383
3up2_4	0.6694319999999999
3up2_40	0.300097
3up2_400	2.48687
3up2_401	7.22571
3up2_413	3.09775
3up2_421	2.8818900000000003
3up2_430	7.783180000000001
3up2_434	8.718919999999999
3up2_435	7.681539999999999
3up2_440	5.5656099999999995
3up2_446	6.7535
3up2_463	6.33349
3up2_464	1.9089099999999999
3up2_499	4.0871
3up2_510	1.65642
3up2_515	4.28895
3up2_518	4.4634599999999995
3up2_520	2.61755
3up2_530	8.32591
3up2_532	3.0529900000000003
3up2_533	2.78059
3up2_536	7.18237
3up2_539	1.67228
3up2_543	8.542069999999999
3up2_551	5.5346
3up2_555	4.37458
3up2_565	7.21393
3up2_569	5.78374
3up2_570	6.733689999999999
3up2_579	8.11942
3up2_58	0.48353100000000004
3up2_581	6.42192
3up2_584	7.18917
3up2_585	4.85783
3up2_593	8.37675
3up2_594	8.71382
3up2_596	5.838080000000001
3up2_60	1.148
3up2_605	1.49282
3up2_613	1.39601
3up2_617	5.23532
3up2_624	3.56775
3up2_631	2.95039
3up2_633	8.34077
3up2_639	2.08019
3up2_641	3.9760800000000005
3up2_649	3.0112099999999997
3up2_665	8.424560000000001
3up2_673	9.07029
3up2_676	9.56793
3up2_682	4.01026
3up2_696	4.47206
3up2_859	7.32618
3up2_ligand	0.0
