#code	rmsd
4jsz_1	10.3823
4jsz_100	2.40408
4jsz_113	10.343
4jsz_138	10.3291
4jsz_150	4.53757
4jsz_156	3.9210199999999995
4jsz_160	10.2613
4jsz_215	1.42479
4jsz_218	3.14145
4jsz_24	6.27661
4jsz_26	6.39229
4jsz_262	2.15769
4jsz_269	2.4043799999999997
4jsz_306	3.8531
4jsz_31	6.33099
4jsz_321	10.2499
4jsz_323	10.3749
4jsz_359	6.2614
4jsz_38	6.35099
4jsz_390	10.3313
4jsz_466	4.30428
4jsz_47	6.33927
4jsz_476	4.391830000000001
4jsz_48	6.3628
4jsz_491	2.6988
4jsz_494	4.48195
4jsz_498	3.3760000000000003
4jsz_506	3.63571
4jsz_509	4.08079
4jsz_511	1.7733
4jsz_512	1.97655
4jsz_545	3.1457200000000003
4jsz_549	4.69135
4jsz_554	4.43947
4jsz_559	3.9263199999999996
4jsz_560	2.64835
4jsz_561	1.7974900000000003
4jsz_571	1.35204
4jsz_574	3.20149
4jsz_581	4.8299900000000004
4jsz_585	2.48088
4jsz_59	6.23119
4jsz_593	1.4489299999999998
4jsz_60	4.151
4jsz_600	4.4920599999999995
4jsz_625	1.6712200000000001
4jsz_63	6.2622800000000005
4jsz_645	6.28523
4jsz_65	5.99071
4jsz_662	2.8630299999999997
4jsz_672	1.7585
4jsz_677	4.18086
4jsz_698	3.1912700000000003
4jsz_71	2.8599
4jsz_710	4.28556
4jsz_74	1.76857
4jsz_742	1.70974
4jsz_756	5.557169999999999
4jsz_762	5.3455699999999995
4jsz_771	5.35529
4jsz_772	6.057919999999999
4jsz_774	5.163530000000001
4jsz_775	5.1035900000000005
4jsz_815	1.29516
4jsz_83	6.40348
4jsz_85	6.1357
4jsz_93	6.4028599999999996
4jsz_ligand	0.0
