#code	rmsd
4tmn_129	8.41629
4tmn_137	10.413
4tmn_141	8.504589999999999
4tmn_146	8.82995
4tmn_148	7.976789999999999
4tmn_150	10.295
4tmn_16	8.956610000000001
4tmn_164	8.63175
4tmn_192	9.52089
4tmn_196	9.937560000000001
4tmn_208	0.675826
4tmn_209	1.0285
4tmn_214	9.50003
4tmn_215	0.731014
4tmn_218	0.626459
4tmn_224	0.64968
4tmn_229	0.92711
4tmn_231	1.23076
4tmn_238	6.0181
4tmn_242	5.78346
4tmn_248	1.0973899999999999
4tmn_258	0.921551
4tmn_260	1.51851
4tmn_268	0.957674
4tmn_274	9.2324
4tmn_275	0.989822
4tmn_278	0.917011
4tmn_283	3.3982300000000003
4tmn_290	6.91185
4tmn_303	6.05593
4tmn_315	9.9058
4tmn_324	0.744109
4tmn_326	10.333
4tmn_333	8.714369999999999
4tmn_359	8.56134
4tmn_365	9.73396
4tmn_391	10.0834
4tmn_392	5.76159
4tmn_397	8.399
4tmn_407	5.116569999999999
4tmn_418	5.49987
4tmn_422	2.69448
4tmn_423	2.17596
4tmn_442	7.99937
4tmn_448	5.493180000000001
4tmn_50	9.89875
4tmn_501	8.50874
4tmn_505	4.1361099999999995
4tmn_509	6.950360000000001
4tmn_523	10.017999999999999
4tmn_526	3.48386
4tmn_53	8.833960000000001
4tmn_534	7.13219
4tmn_551	9.79124
4tmn_554	8.145389999999999
4tmn_555	5.59928
4tmn_58	5.01578
4tmn_60	9.45603
4tmn_604	6.48158
4tmn_613	7.72853
4tmn_653	8.36192
4tmn_671	5.40872
4tmn_673	5.397130000000001
4tmn_692	5.54146
4tmn_710	1.22685
4tmn_715	1.6332
4tmn_718	2.2146
4tmn_721	1.78635
4tmn_722	1.93639
4tmn_731	1.59107
4tmn_734	8.834710000000001
4tmn_738	10.296
4tmn_743	9.3172
4tmn_746	2.17159
4tmn_754	6.846939999999999
4tmn_756	4.8254
4tmn_771	6.9363600000000005
4tmn_78	10.7346
4tmn_790	8.71462
4tmn_794	7.210189999999999
4tmn_801	1.30219
4tmn_810	4.9951099999999995
4tmn_816	4.6952300000000005
4tmn_823	4.07714
4tmn_824	6.1924
4tmn_842	5.62097
4tmn_854	3.93045
4tmn_867	5.58898
4tmn_875	6.733510000000001
4tmn_878	5.35076
4tmn_889	8.46983
4tmn_9	7.42029
4tmn_91	9.25614
4tmn_936	5.03722
4tmn_951	5.7899400000000005
4tmn_952	5.580430000000001
4tmn_962	3.97623
4tmn_963	5.36906
4tmn_989	8.62256
4tmn_991	5.04321
4tmn_ligand	0.0
