#code        score   
1o3f_112     -7.8842926
1o3f_125     -5.836422
1o3f_126     -7.2268715
1o3f_144     -9.0541658
1o3f_145     -6.2054148
1o3f_148     -5.8438163
1o3f_152     -7.2380657
1o3f_162     -5.5393553
1o3f_163     -6.7096968
1o3f_168     -6.6472969
1o3f_173     -7.5331807
1o3f_175     -6.7358904
1o3f_185     -5.1380582
1o3f_191     -6.5726504
1o3f_242     -11.752301
1o3f_246     -10.304919
1o3f_247     -9.5546246
1o3f_257     -9.7447672
1o3f_265     -12.462453
1o3f_372     -12.74835
1o3f_407     -15.361791
1o3f_417     -14.954539
1o3f_423     -14.598985
1o3f_445     -13.963151
1o3f_446     -14.458155
1o3f_449     -14.08369
1o3f_458     -13.739681
1o3f_460     -15.342688
1o3f_463     -13.562634
1o3f_464     -13.490284
1o3f_472     -13.385283
1o3f_482     -14.040759
1o3f_485     -13.27148
1o3f_489     -13.168932
1o3f_490     -13.56951
1o3f_494     -15.987394
1o3f_495     -13.097748
1o3f_498     -13.263852
1o3f_501     -12.22638
1o3f_503     -11.638675
1o3f_504     -12.875528
1o3f_506     -12.545647
1o3f_507     -12.023743
1o3f_526     -12.930114
1o3f_530     -9.2266188
1o3f_538     -12.760735
1o3f_547     -3.9397168
1o3f_558     -11.076166
1o3f_563     -11.395178
1o3f_566     -11.87075
1o3f_572     -11.308698
1o3f_582     -4.3876305
1o3f_588     -7.1251945
1o3f_591     -11.486185
1o3f_595     -7.7578187
1o3f_598     -11.390381
1o3f_624     -12.359322
1o3f_64      -13.174119
1o3f_668     -9.5969067
1o3f_669     -11.160382
1o3f_670     -11.320008
1o3f_672     -11.443841
1o3f_690     -10.424942
1o3f_693     -5.3529439
1o3f_696     -11.363939
1o3f_700     -12.21836
1o3f_752     -12.83527
1o3f_798     -12.458735
1o3f_910     -11.769958
1o3f_931     -13.299373
1o3f_94      -13.555342
1o3f_ligand  -12.820176
