#code        score   
2qbp_100     -8.2596416
2qbp_103     -9.9508286
2qbp_110     -8.039444
2qbp_118     -7.1189609
2qbp_125     -9.2262268
2qbp_13      -13.219037
2qbp_152     -6.4705429
2qbp_155     -9.7950706
2qbp_158     -8.7818909
2qbp_160     -9.3676405
2qbp_168     -10.576653
2qbp_187     -10.654071
2qbp_19      -8.7811298
2qbp_191     -9.967267
2qbp_204     -14.142563
2qbp_207     -10.007957
2qbp_208     -7.6019273
2qbp_225     -15.375743
2qbp_23      -10.028243
2qbp_233     -8.6732998
2qbp_234     -7.6613903
2qbp_239     -11.768614
2qbp_255     -8.8010826
2qbp_256     -11.317886
2qbp_259     -14.708648
2qbp_260     -14.156859
2qbp_265     -12.695918
2qbp_268     -7.5402465
2qbp_27      -8.3043833
2qbp_272     -14.103044
2qbp_276     -14.771852
2qbp_28      -13.293543
2qbp_283     -10.964841
2qbp_286     -11.784989
2qbp_288     -14.021172
2qbp_29      -15.097011
2qbp_292     -10.53875
2qbp_297     -10.445818
2qbp_310     -10.944962
2qbp_35      -11.222119
2qbp_368     -6.7537947
2qbp_37      -13.488664
2qbp_371     -8.8641081
2qbp_411     -14.022272
2qbp_415     -13.84666
2qbp_463     -12.45955
2qbp_464     -12.454053
2qbp_488     -11.997753
2qbp_489     -11.99097
2qbp_491     -11.905669
2qbp_498     -11.850158
2qbp_50      -9.2475653
2qbp_503     -5.8273025
2qbp_504     -8.0681581
2qbp_528     -10.436211
2qbp_53      -9.2721987
2qbp_546     -2.7703652
2qbp_549     -6.4707637
2qbp_554     -11.581896
2qbp_558     -10.074677
2qbp_559     -8.5496178
2qbp_561     -8.7784872
2qbp_567     -11.343491
2qbp_572     -8.3812075
2qbp_585     -4.9474888
2qbp_591     -9.1811943
2qbp_593     -5.1370254
2qbp_596     -6.610353
2qbp_608     -8.8709764
2qbp_615     -9.79356
2qbp_622     -4.9837179
2qbp_623     -6.3304067
2qbp_630     -10.984084
2qbp_631     -4.8255248
2qbp_648     -6.969511
2qbp_650     -5.4469342
2qbp_654     -11.422838
2qbp_656     -6.3076649
2qbp_665     -2.3685086
2qbp_676     -6.8789358
2qbp_690     -7.8195496
2qbp_693     -8.6412373
2qbp_695     -3.11343
2qbp_71      -11.623091
2qbp_74      -9.4545336
2qbp_741     -12.908161
2qbp_744     -12.045167
2qbp_78      -9.1112881
2qbp_79      -11.290339
2qbp_80      -10.837333
2qbp_84      -9.3542404
2qbp_85      -9.3842115
2qbp_890     -10.769938
2qbp_92      -13.818727
2qbp_94      -11.070487
2qbp_97      -12.058213
2qbp_ligand  -14.675368
