#code        score   
2zcq_1       -22.383503
2zcq_10      -20.200268
2zcq_12      -23.293526
2zcq_168     -22.710096
2zcq_213     -22.602989
2zcq_227     -19.101004
2zcq_254     -19.446983
2zcq_259     -18.752024
2zcq_263     -21.846243
2zcq_27      -20.863943
2zcq_274     -23.747158
2zcq_281     -20.013351
2zcq_284     -20.112255
2zcq_311     -20.096449
2zcq_36      -19.71192
2zcq_369     -20.926899
2zcq_423     -20.959278
2zcq_427     -20.984024
2zcq_432     -20.704897
2zcq_440     -20.758064
2zcq_444     -20.368502
2zcq_447     -20.294842
2zcq_451     -20.21015
2zcq_454     -20.13389
2zcq_457     -20.01837
2zcq_458     -19.973366
2zcq_460     -20.03278
2zcq_461     -19.901974
2zcq_462     -19.871365
2zcq_463     -19.820868
2zcq_468     -19.743612
2zcq_470     -19.734919
2zcq_471     -19.732121
2zcq_473     -20.72846
2zcq_474     -19.656364
2zcq_475     -19.678871
2zcq_48      -20.409735
2zcq_482     -20.014452
2zcq_486     -19.578508
2zcq_498     -19.581038
2zcq_499     -19.31859
2zcq_520     -15.359788
2zcq_525     -17.653469
2zcq_528     -18.430155
2zcq_529     -16.18013
2zcq_542     -18.552135
2zcq_554     -20.825708
2zcq_558     -16.091185
2zcq_563     -16.731083
2zcq_578     -16.346226
2zcq_580     -13.913481
2zcq_581     -17.98414
2zcq_583     -16.252344
2zcq_584     -16.874903
2zcq_587     -18.002625
2zcq_593     -17.298582
2zcq_598     -15.590424
2zcq_606     -13.948608
2zcq_612     -16.703014
2zcq_620     -16.02597
2zcq_628     -17.070925
2zcq_636     -17.281773
2zcq_665     -17.091805
2zcq_669     -18.074507
2zcq_671     -17.108753
2zcq_680     -18.122446
2zcq_682     -14.550666
2zcq_687     -14.463966
2zcq_689     -16.08769
2zcq_707     -17.904577
2zcq_716     -19.588835
2zcq_726     -21.261322
2zcq_743     -17.439571
2zcq_745     -20.024031
2zcq_747     -19.879629
2zcq_756     -16.503628
2zcq_76      -20.055439
2zcq_762     -18.16651
2zcq_769     -19.12888
2zcq_784     -15.426212
2zcq_785     -15.503727
2zcq_786     -15.049869
2zcq_787     -14.973753
2zcq_860     -15.279902
2zcq_88      -19.774994
2zcq_888     -16.612995
2zcq_91      -19.942642
2zcq_927     -17.942192
2zcq_942     -15.979645
2zcq_960     -19.243374
2zcq_961     -19.345196
2zcq_969     -15.13825
2zcq_971     -17.026596
2zcq_98      -19.976013
2zcq_ligand  -19.296221
