#code        score   
4ivb_142     -20.650742
4ivb_253     -21.134785
4ivb_423     -19.965149
4ivb_425     -19.912619
4ivb_428     -19.829269
4ivb_429     -19.803041
4ivb_436     -19.553526
4ivb_439     -19.537521
4ivb_441     -19.452217
4ivb_442     -19.451199
4ivb_460     -19.194588
4ivb_468     -19.131845
4ivb_477     -19.016535
4ivb_479     -18.979631
4ivb_511     -14.616834
4ivb_525     -14.347245
4ivb_527     -16.370409
4ivb_539     -14.693835
4ivb_547     -15.015002
4ivb_552     -16.818707
4ivb_561     -14.360991
4ivb_563     -18.489027
4ivb_565     -14.293655
4ivb_566     -16.528242
4ivb_577     -15.172526
4ivb_585     -15.580996
4ivb_586     -16.506727
4ivb_587     -13.886292
4ivb_590     -14.339478
4ivb_594     -15.250461
4ivb_598     -17.527925
4ivb_61      -21.170128
4ivb_615     -18.262732
4ivb_620     -14.51697
4ivb_625     -14.553761
4ivb_637     -15.297256
4ivb_649     -17.821592
4ivb_661     -16.094406
4ivb_664     -14.870609
4ivb_666     -16.110559
4ivb_671     -15.199713
4ivb_674     -16.632959
4ivb_734     -20.434181
4ivb_741     -17.762711
4ivb_747     -13.21552
4ivb_748     -16.554022
4ivb_750     -11.836243
4ivb_752     -16.505655
4ivb_761     -17.782942
4ivb_764     -11.794532
4ivb_768     -15.178559
4ivb_769     -8.8688126
4ivb_771     -14.873301
4ivb_772     -10.470365
4ivb_773     -17.13245
4ivb_776     -10.58206
4ivb_779     -12.033449
4ivb_781     -4.0018272
4ivb_783     -9.8985825
4ivb_784     -16.408541
4ivb_785     -19.080408
4ivb_787     -12.85093
4ivb_788     -15.286983
4ivb_791     -12.477361
4ivb_794     -12.563468
4ivb_795     -10.685047
4ivb_797     -5.5595222
4ivb_845     -19.451872
4ivb_85      -21.658375
4ivb_875     -20.472872
4ivb_884     -17.232483
4ivb_887     -17.198462
4ivb_896     -16.791592
4ivb_897     -15.637725
4ivb_947     -20.699398
4ivb_962     -20.001244
4ivb_ligand  -21.600899
