#code        score   
2xbv_103     36.43   
2xbv_109     -1371.32
2xbv_114     32.37   
2xbv_119     33.88   
2xbv_124     31.78   
2xbv_136     -375.97 
2xbv_137     36.83   
2xbv_144     25.17   
2xbv_154     -1172.14
2xbv_157     -570.85 
2xbv_164     19.49   
2xbv_167     26.74   
2xbv_184     49.40   
2xbv_195     39.58   
2xbv_198     31.28   
2xbv_199     50.40   
2xbv_203     34.48   
2xbv_226     39.58   
2xbv_23      31.61   
2xbv_267     36.93   
2xbv_277     39.68   
2xbv_293     24.47   
2xbv_302     42.38   
2xbv_304     33.11   
2xbv_309     28.27   
2xbv_310     24.84   
2xbv_316     26.51   
2xbv_317     45.20   
2xbv_336     31.56   
2xbv_340     21.58   
2xbv_344     38.59   
2xbv_347     26.40   
2xbv_353     37.25   
2xbv_355     32.27   
2xbv_364     -168.81 
2xbv_378     44.33   
2xbv_385     24.31   
2xbv_386     -1161.76
2xbv_389     33.53   
2xbv_391     -1171.72
2xbv_392     40.48   
2xbv_397     42.94   
2xbv_399     26.52   
2xbv_401     -36.09  
2xbv_434     -43.98  
2xbv_435     -80.80  
2xbv_444     -48.59  
2xbv_463     -43.40  
2xbv_475     -38.06  
2xbv_477     -32.27  
2xbv_52      30.12   
2xbv_532     -22.98  
2xbv_559     -0.51   
2xbv_565     -19.64  
2xbv_746     16.62   
2xbv_747     13.14   
2xbv_752     19.34   
2xbv_753     18.62   
2xbv_754     20.88   
2xbv_756     15.05   
2xbv_761     -1.24   
2xbv_762     4.17    
2xbv_766     33.34   
2xbv_769     5.68    
2xbv_770     18.16   
2xbv_771     2.28    
2xbv_773     3.04    
2xbv_777     2.83    
2xbv_779     6.77    
2xbv_780     9.62    
2xbv_782     13.83   
2xbv_784     2.15    
2xbv_8       24.15   
2xbv_825     30.05   
2xbv_855     32.61   
2xbv_866     23.37   
2xbv_880     21.07   
2xbv_883     21.04   
2xbv_884     15.60   
2xbv_984     32.17   
2xbv_ligand  55.11   
