#code        score   
3aru_10      32.10   
3aru_167     27.95   
3aru_169     20.26   
3aru_174     25.30   
3aru_202     22.45   
3aru_205     -0.01   
3aru_222     18.95   
3aru_235     18.52   
3aru_239     2.26    
3aru_240     12.61   
3aru_268     14.17   
3aru_270     -1203.86
3aru_272     10.67   
3aru_297     10.96   
3aru_306     30.34   
3aru_311     27.07   
3aru_314     29.75   
3aru_320     26.64   
3aru_336     28.08   
3aru_356     27.76   
3aru_362     31.21   
3aru_38      31.50   
3aru_39      30.39   
3aru_40      29.46   
3aru_449     7.47    
3aru_450     23.21   
3aru_478     17.67   
3aru_48      30.24   
3aru_482     -5.08   
3aru_483     8.51    
3aru_502     -11.96  
3aru_512     10.59   
3aru_521     -11.85  
3aru_530     -18.33  
3aru_532     6.03    
3aru_533     11.33   
3aru_544     -11.10  
3aru_546     1.54    
3aru_565     -12.25  
3aru_566     -11.73  
3aru_573     16.89   
3aru_577     -16.89  
3aru_58      31.99   
3aru_587     -8.91   
3aru_589     3.31    
3aru_592     1.59    
3aru_594     2.29    
3aru_595     7.37    
3aru_60      33.28   
3aru_604     5.32    
3aru_618     -6.92   
3aru_62      31.04   
3aru_621     4.17    
3aru_64      31.42   
3aru_654     2.90    
3aru_686     -6.68   
3aru_695     7.58    
3aru_698     5.46    
3aru_709     9.26    
3aru_715     22.54   
3aru_716     20.02   
3aru_721     8.10    
3aru_725     12.54   
3aru_728     17.76   
3aru_745     14.68   
3aru_749     9.67    
3aru_776     21.46   
3aru_777     19.84   
3aru_780     16.81   
3aru_789     17.35   
3aru_790     18.37   
3aru_791     14.30   
3aru_817     25.13   
3aru_852     23.80   
3aru_858     17.43   
3aru_88      30.21   
3aru_902     17.91   
3aru_909     26.82   
3aru_925     17.82   
3aru_93      32.45   
3aru_930     11.89   
3aru_949     -2.28   
3aru_952     27.55   
3aru_98      31.49   
3aru_99      29.14   
3aru_ligand  30.85   
