#code        score   
4eky_274     8.91    
4eky_287     0.12    
4eky_32      34.81   
4eky_38      35.14   
4eky_407     -20.71  
4eky_416     -38.67  
4eky_419     3.23    
4eky_424     -31.41  
4eky_425     -22.67  
4eky_430     0.74    
4eky_433     -19.45  
4eky_438     -6.39   
4eky_443     -25.69  
4eky_448     -48.89  
4eky_461     -34.51  
4eky_475     -32.39  
4eky_478     -11.48  
4eky_485     -34.06  
4eky_495     -21.04  
4eky_496     -56.48  
4eky_534     -8.34   
4eky_538     -21.60  
4eky_546     -3.11   
4eky_565     -3.79   
4eky_568     -19.88  
4eky_582     -53.21  
4eky_599     -13.46  
4eky_609     -9.55   
4eky_619     -2.15   
4eky_636     -17.70  
4eky_638     -27.63  
4eky_639     -24.50  
4eky_640     -30.63  
4eky_641     -31.36  
4eky_647     -43.77  
4eky_649     -5.26   
4eky_651     -14.98  
4eky_659     -33.96  
4eky_668     -43.84  
4eky_673     -20.29  
4eky_678     -45.73  
4eky_680     -23.55  
4eky_693     -13.82  
4eky_699     -7.92   
4eky_700     -13.02  
4eky_720     16.86   
4eky_725     30.82   
4eky_727     15.55   
4eky_730     19.69   
4eky_741     13.31   
4eky_742     22.44   
4eky_755     26.51   
4eky_759     11.50   
4eky_763     4.00    
4eky_767     -3.53   
4eky_768     9.36    
4eky_770     2.38    
4eky_771     -21.99  
4eky_772     -32.02  
4eky_773     -9.69   
4eky_774     -45.38  
4eky_776     -12.11  
4eky_777     -71.22  
4eky_778     -66.79  
4eky_779     -50.57  
4eky_830     17.89   
4eky_842     20.29   
4eky_848     12.94   
4eky_856     20.37   
4eky_875     18.29   
4eky_876     15.46   
4eky_883     27.04   
4eky_899     31.00   
4eky_908     27.00   
4eky_941     23.32   
4eky_969     24.86   
4eky_972     26.91   
4eky_ligand  28.60   
