#code        score   
4ivd_12      32.17   
4ivd_231     26.88   
4ivd_243     28.05   
4ivd_260     29.17   
4ivd_404     2.54    
4ivd_405     7.26    
4ivd_406     9.28    
4ivd_426     10.89   
4ivd_442     -14.83  
4ivd_445     0.47    
4ivd_449     2.54    
4ivd_451     6.58    
4ivd_467     -6.88   
4ivd_468     -8.21   
4ivd_473     -3.14   
4ivd_480     -2.81   
4ivd_490     -13.59  
4ivd_492     -13.53  
4ivd_495     -3.43   
4ivd_497     -2.00   
4ivd_518     1.73    
4ivd_52      30.39   
4ivd_522     -0.69   
4ivd_533     -1.78   
4ivd_537     11.03   
4ivd_541     5.42    
4ivd_542     -7.73   
4ivd_546     1.27    
4ivd_549     1.03    
4ivd_550     0.60    
4ivd_561     -3.11   
4ivd_562     -5.62   
4ivd_565     6.35    
4ivd_567     1.19    
4ivd_571     6.92    
4ivd_572     -3.61   
4ivd_58      31.75   
4ivd_588     -0.24   
4ivd_589     3.62    
4ivd_595     7.86    
4ivd_597     -2.13   
4ivd_598     1.06    
4ivd_599     -13.49  
4ivd_605     -6.29   
4ivd_629     -26.86  
4ivd_641     1.70    
4ivd_645     12.91   
4ivd_648     -7.62   
4ivd_653     4.67    
4ivd_658     -4.89   
4ivd_659     -15.55  
4ivd_660     5.60    
4ivd_664     -7.86   
4ivd_667     0.15    
4ivd_671     -7.46   
4ivd_672     -17.90  
4ivd_674     -11.97  
4ivd_680     0.38    
4ivd_688     1.88    
4ivd_692     6.94    
4ivd_694     -5.34   
4ivd_752     21.96   
4ivd_771     24.54   
4ivd_781     22.62   
4ivd_785     4.90    
4ivd_786     20.52   
4ivd_787     13.71   
4ivd_823     26.63   
4ivd_843     27.32   
4ivd_866     27.71   
4ivd_886     25.65   
4ivd_962     17.07   
4ivd_ligand  31.48   
