#code        score   
4k18_100     -39.21  
4k18_105     32.64   
4k18_107     35.58   
4k18_118     25.58   
4k18_122     35.88   
4k18_144     34.96   
4k18_151     30.56   
4k18_161     33.56   
4k18_174     33.79   
4k18_200     33.67   
4k18_201     29.41   
4k18_203     26.42   
4k18_215     27.94   
4k18_223     27.62   
4k18_225     29.51   
4k18_23      38.78   
4k18_233     20.84   
4k18_249     22.97   
4k18_254     30.18   
4k18_267     24.77   
4k18_282     27.05   
4k18_285     23.15   
4k18_287     31.19   
4k18_365     35.73   
4k18_38      35.90   
4k18_408     20.94   
4k18_415     4.96    
4k18_430     7.92    
4k18_437     8.67    
4k18_438     7.19    
4k18_441     10.12   
4k18_454     9.45    
4k18_458     -3.20   
4k18_467     -3.55   
4k18_471     11.11   
4k18_477     -14.98  
4k18_478     -1.55   
4k18_480     17.00   
4k18_490     12.86   
4k18_494     -5.10   
4k18_495     0.80    
4k18_515     4.29    
4k18_531     6.92    
4k18_538     14.97   
4k18_541     13.29   
4k18_542     14.16   
4k18_545     9.24    
4k18_547     19.26   
4k18_552     -3.53   
4k18_557     1.06    
4k18_560     17.50   
4k18_563     17.33   
4k18_565     -4.77   
4k18_570     13.05   
4k18_574     10.65   
4k18_583     10.57   
4k18_586     0.78    
4k18_587     11.57   
4k18_592     11.50   
4k18_599     12.25   
4k18_60      38.58   
4k18_635     0.72    
4k18_646     14.57   
4k18_651     1.56    
4k18_668     4.54    
4k18_671     13.10   
4k18_672     6.31    
4k18_683     -4.37   
4k18_688     12.86   
4k18_690     7.24    
4k18_693     -9.15   
4k18_700     -8.71   
4k18_744     32.82   
4k18_748     30.03   
4k18_749     20.70   
4k18_825     22.78   
4k18_829     28.97   
4k18_85      38.39   
4k18_859     25.75   
4k18_93      36.98   
4k18_ligand  32.22   
