#code        score   
4w9c_172     30.60   
4w9c_186     38.72   
4w9c_249     37.76   
4w9c_326     35.52   
4w9c_333     30.39   
4w9c_36      40.83   
4w9c_363     28.75   
4w9c_372     27.22   
4w9c_379     38.12   
4w9c_381     37.02   
4w9c_405     -23.05  
4w9c_415     -18.24  
4w9c_420     6.43    
4w9c_423     -14.76  
4w9c_432     -11.68  
4w9c_446     6.03    
4w9c_450     -23.49  
4w9c_452     -1.37   
4w9c_456     -72.97  
4w9c_457     -18.92  
4w9c_460     -24.67  
4w9c_462     -0.03   
4w9c_473     -22.52  
4w9c_476     -22.70  
4w9c_477     -25.90  
4w9c_48      31.77   
4w9c_483     -28.27  
4w9c_486     0.56    
4w9c_487     8.32    
4w9c_490     -28.88  
4w9c_494     -17.55  
4w9c_499     -19.56  
4w9c_513     8.05    
4w9c_516     7.49    
4w9c_520     16.87   
4w9c_528     -1.12   
4w9c_533     10.04   
4w9c_538     3.25    
4w9c_543     5.11    
4w9c_545     12.39   
4w9c_546     -8.00   
4w9c_550     6.81    
4w9c_556     -45.27  
4w9c_558     -3.85   
4w9c_560     14.00   
4w9c_561     10.06   
4w9c_562     -2.49   
4w9c_567     6.24    
4w9c_569     -1.68   
4w9c_580     10.75   
4w9c_59      36.82   
4w9c_594     16.71   
4w9c_597     -16.19  
4w9c_6       35.49   
4w9c_603     -11.10  
4w9c_604     6.46    
4w9c_613     -13.78  
4w9c_623     -7.59   
4w9c_628     -2.61   
4w9c_636     5.49    
4w9c_637     8.28    
4w9c_638     -3.75   
4w9c_639     3.37    
4w9c_642     -6.54   
4w9c_646     5.72    
4w9c_660     -0.68   
4w9c_661     -10.30  
4w9c_664     -10.34  
4w9c_670     5.08    
4w9c_677     13.16   
4w9c_683     5.89    
4w9c_691     -17.79  
4w9c_695     -0.17   
4w9c_697     11.95   
4w9c_699     12.65   
4w9c_7       -163.13 
4w9c_712     38.29   
4w9c_719     36.35   
4w9c_720     39.32   
4w9c_732     33.85   
4w9c_735     21.83   
4w9c_739     14.94   
4w9c_758     29.55   
4w9c_765     27.42   
4w9c_768     29.10   
4w9c_772     22.27   
4w9c_777     28.47   
4w9c_778     20.60   
4w9c_806     14.73   
4w9c_85      35.78   
4w9c_854     11.83   
4w9c_906     40.46   
4w9c_925     37.83   
4w9c_955     40.24   
4w9c_963     17.91   
4w9c_968     12.84   
4w9c_ligand  36.53   
