#code        score   
5c2h_119     32.97   
5c2h_160     40.27   
5c2h_204     43.22   
5c2h_216     50.12   
5c2h_240     53.19   
5c2h_244     52.31   
5c2h_247     48.85   
5c2h_251     36.67   
5c2h_252     37.97   
5c2h_256     42.78   
5c2h_259     42.19   
5c2h_274     45.91   
5c2h_292     46.75   
5c2h_295     41.06   
5c2h_308     31.18   
5c2h_352     42.96   
5c2h_394     34.20   
5c2h_405     -3.16   
5c2h_406     -59.02  
5c2h_421     1.93    
5c2h_424     0.23    
5c2h_427     -10.73  
5c2h_431     -27.90  
5c2h_432     9.18    
5c2h_444     -32.57  
5c2h_457     -31.59  
5c2h_462     24.07   
5c2h_467     -65.83  
5c2h_471     9.01    
5c2h_475     -15.60  
5c2h_48      44.43   
5c2h_481     -26.51  
5c2h_482     -26.51  
5c2h_484     8.54    
5c2h_486     -19.52  
5c2h_496     -40.08  
5c2h_500     -22.29  
5c2h_507     17.10   
5c2h_509     1.24    
5c2h_513     32.61   
5c2h_516     13.93   
5c2h_517     -0.03   
5c2h_519     -9.08   
5c2h_520     0.76    
5c2h_524     12.68   
5c2h_533     0.94    
5c2h_536     10.29   
5c2h_537     7.00    
5c2h_544     20.85   
5c2h_545     15.03   
5c2h_547     2.01    
5c2h_548     -3.91   
5c2h_553     -5.15   
5c2h_561     17.36   
5c2h_565     -0.50   
5c2h_566     22.36   
5c2h_572     -15.48  
5c2h_575     -3.36   
5c2h_576     27.92   
5c2h_579     4.64    
5c2h_585     -28.80  
5c2h_597     0.75    
5c2h_599     2.98    
5c2h_602     2.58    
5c2h_608     -4.29   
5c2h_611     12.68   
5c2h_613     13.49   
5c2h_624     19.94   
5c2h_627     19.29   
5c2h_640     -12.54  
5c2h_641     -24.81  
5c2h_644     15.09   
5c2h_646     25.11   
5c2h_649     2.10    
5c2h_651     -11.41  
5c2h_653     -1.17   
5c2h_657     29.13   
5c2h_663     3.35    
5c2h_666     -9.34   
5c2h_682     -6.35   
5c2h_686     10.89   
5c2h_696     17.50   
5c2h_697     26.08   
5c2h_698     11.89   
5c2h_700     14.65   
5c2h_756     25.38   
5c2h_758     26.20   
5c2h_764     33.69   
5c2h_775     31.39   
5c2h_816     26.19   
5c2h_831     20.80   
5c2h_848     26.20   
5c2h_860     19.49   
5c2h_89      42.40   
5c2h_910     43.67   
5c2h_922     36.29   
5c2h_940     25.18   
5c2h_ligand  53.67   
