#code        score   
1e66_158     -8.5190077
1e66_247     -7.0587435
1e66_402     -6.7320542
1e66_404     -4.5425568
1e66_406     -4.4036584
1e66_412     -4.5294213
1e66_419     5.0114441
1e66_422     -5.3945131
1e66_429     2.1909635
1e66_440     1.7264168
1e66_442     6.9070888
1e66_466     4.9721665
1e66_467     10.824181
1e66_468     2.5829978
1e66_477     7.5671716
1e66_483     4.724082
1e66_484     0.21485148
1e66_489     5.4252095
1e66_495     10.715863
1e66_498     3.2396343
1e66_504     -2.6406336
1e66_505     -0.50650746
1e66_550     -1.4856255
1e66_551     2.2421143
1e66_552     -2.7549834
1e66_553     3.7104933
1e66_573     0.33414087
1e66_574     1.5944413
1e66_577     1.9403446
1e66_587     3.977823
1e66_589     0.78893876
1e66_591     4.6080379
1e66_617     -2.3075969
1e66_633     -0.52452099
1e66_656     0.3205643
1e66_661     -0.011107386
1e66_678     -2.32844
1e66_700     0.21908619
1e66_702     -4.6267824
1e66_712     -5.5933557
1e66_733     -1.9288757
1e66_744     -2.2941046
1e66_746     -3.9885848
1e66_754     -0.92745316
1e66_755     4.3849196
1e66_761     -1.0560567
1e66_763     1.0584648
1e66_767     3.168581
1e66_768     -0.65545321
1e66_771     12.936623
1e66_772     3.6340873
1e66_774     -6.3251915
1e66_787     -7.4261923
1e66_806     -5.536377
1e66_807     -4.6037951
1e66_810     -3.8459451
1e66_823     -3.9991717
1e66_841     -4.9342809
1e66_842     -4.4191031
1e66_859     -4.1340551
1e66_860     -4.8878684
1e66_862     -3.8436775
1e66_863     -2.1482213
1e66_865     0.74542063
1e66_867     -1.356746
1e66_870     -2.0675702
1e66_891     -7.3237014
1e66_907     -5.6695862
1e66_909     -6.6411581
1e66_921     -3.0511672
1e66_ligand  -8.7191544
