#code        score   
2qe4_165     -9.4538565
2qe4_249     -9.0881224
2qe4_3       -8.8580837
2qe4_309     -9.357069
2qe4_422     -1.6344328
2qe4_435     2.2528112
2qe4_441     0.83526105
2qe4_446     0.80245411
2qe4_447     4.8530445
2qe4_448     -6.8523254
2qe4_499     -4.5938511
2qe4_500     -1.7385137
2qe4_509     -8.1552525
2qe4_551     -7.5706377
2qe4_552     -6.0868378
2qe4_574     -0.11880026
2qe4_597     -3.279104
2qe4_611     -1.4016037
2qe4_629     -3.6371207
2qe4_689     -1.754787
2qe4_693     -3.3330672
2qe4_694     0.33645767
2qe4_698     0.2503885
2qe4_705     -8.8191929
2qe4_718     -9.881073
2qe4_741     -8.088562
2qe4_750     -6.6751652
2qe4_754     -6.942791
2qe4_757     -6.605485
2qe4_770     -6.5305634
2qe4_771     -5.8433194
2qe4_777     -7.6280069
2qe4_779     -7.8342152
2qe4_780     -7.1417046
2qe4_784     -4.5813203
2qe4_786     -6.9286475
2qe4_788     -3.962867
2qe4_789     -4.4414887
2qe4_79      -9.6159067
2qe4_793     -7.7409592
2qe4_796     -7.6418719
2qe4_797     -5.5003605
2qe4_83      -8.9853067
2qe4_832     -6.96525
2qe4_841     -8.7772398
2qe4_850     -6.515727
2qe4_875     -8.5523167
2qe4_877     -5.5271621
2qe4_964     -9.0430861
2qe4_977     -9.0506001
2qe4_ligand  -8.9991293
