#code        score   
3nw9_105     -7.5960793
3nw9_123     -5.9229751
3nw9_124     -4.6131983
3nw9_134     -7.9222484
3nw9_140     -6.605412
3nw9_142     -9.1461468
3nw9_149     -5.9407926
3nw9_151     -4.8065233
3nw9_153     -9.0782919
3nw9_159     -8.3191004
3nw9_162     -6.9140058
3nw9_163     -8.019021
3nw9_166     -7.2377424
3nw9_172     -5.5143409
3nw9_176     -7.3804488
3nw9_183     -8.4705658
3nw9_190     -7.5400739
3nw9_20      -5.0051422
3nw9_204     -4.8625832
3nw9_210     -11.240627
3nw9_212     -10.340115
3nw9_239     -2.5143332
3nw9_240     -11.137664
3nw9_26      -9.7472267
3nw9_263     -10.884535
3nw9_264     -11.502718
3nw9_315     -6.6799741
3nw9_329     -9.5662727
3nw9_348     -6.5677671
3nw9_355     -5.7812796
3nw9_398     -6.0739694
3nw9_399     -6.2647734
3nw9_401     27.116619
3nw9_406     12.073893
3nw9_409     26.147943
3nw9_414     28.134666
3nw9_423     30.362419
3nw9_427     34.504246
3nw9_433     39.165024
3nw9_435     23.150412
3nw9_437     23.447603
3nw9_438     13.052611
3nw9_441     7.4264593
3nw9_444     27.472528
3nw9_446     42.174969
3nw9_455     52.14183
3nw9_466     15.763579
3nw9_471     29.086966
3nw9_473     40.061462
3nw9_479     4.7864909
3nw9_491     4.8194041
3nw9_497     8.1122389
3nw9_506     7.1314201
3nw9_511     1.6710997
3nw9_518     -3.9819944
3nw9_534     -4.1784801
3nw9_538     11.991183
3nw9_541     2.4019945
3nw9_545     7.81775 
3nw9_551     21.148918
3nw9_583     10.735856
3nw9_593     5.1013646
3nw9_594     7.4138222
3nw9_596     21.283205
3nw9_598     1.6577348
3nw9_599     12.618263
3nw9_607     2.8452635
3nw9_609     1.4355778
3nw9_613     0.74151611
3nw9_614     19.638704
3nw9_621     -1.7264357
3nw9_629     6.5836558
3nw9_640     15.283721
3nw9_641     17.702642
3nw9_651     11.995432
3nw9_653     3.0396087
3nw9_656     6.6552639
3nw9_657     -3.6515594
3nw9_671     12.557397
3nw9_685     -0.87759334
3nw9_688     7.1578393
3nw9_70      -10.109558
3nw9_700     7.1276059
3nw9_710     -5.7586622
3nw9_715     -6.4010081
3nw9_734     -8.4513283
3nw9_739     -6.1673889
3nw9_749     -7.5270395
3nw9_755     -6.2819123
3nw9_757     -7.6946158
3nw9_76      -6.5682011
3nw9_766     -6.12922
3nw9_785     -2.6894326
3nw9_786     -5.3716621
3nw9_833     -9.5648022
3nw9_945     -11.676005
3nw9_951     -9.9003296
3nw9_964     -9.1433525
3nw9_975     -9.441781
3nw9_988     -6.1154795
3nw9_ligand  -11.958366
