#code        score   
3pww_152     -7.6458631
3pww_200     -8.0947514
3pww_236     -8.0055523
3pww_256     -8.5781431
3pww_269     -10.956914
3pww_280     -8.2887125
3pww_312     -4.9753976
3pww_320     -5.4193339
3pww_322     -5.2637362
3pww_324     -7.9939079
3pww_342     -5.7155857
3pww_343     -6.2516704
3pww_364     -10.545537
3pww_394     -9.7934828
3pww_401     9.4369259
3pww_404     22.256968
3pww_405     36.912533
3pww_410     15.503174
3pww_411     15.025927
3pww_416     24.343437
3pww_417     32.722038
3pww_420     7.4903097
3pww_421     31.276041
3pww_425     11.566292
3pww_439     15.410357
3pww_440     47.203163
3pww_449     28.481976
3pww_452     37.913799
3pww_461     17.848356
3pww_463     31.070169
3pww_466     13.477429
3pww_468     12.921658
3pww_478     55.118893
3pww_482     30.030132
3pww_484     42.211372
3pww_487     19.404659
3pww_489     20.619762
3pww_494     12.641479
3pww_501     3.2611947
3pww_516     5.0057554
3pww_541     7.017035
3pww_545     13.271007
3pww_549     3.9689345
3pww_552     10.694585
3pww_560     3.3126376
3pww_561     20.577019
3pww_565     13.173729
3pww_570     18.569345
3pww_571     6.4523201
3pww_574     12.59936
3pww_575     15.732463
3pww_581     1.0251826
3pww_584     6.9628053
3pww_605     0.95236009
3pww_631     3.1385536
3pww_635     20.940929
3pww_654     12.219368
3pww_658     29.652723
3pww_667     3.4733157
3pww_671     7.7876997
3pww_678     3.3908918
3pww_685     23.433241
3pww_708     -8.4251175
3pww_730     -9.6780148
3pww_742     -4.6345029
3pww_747     -8.7162285
3pww_749     -7.2870507
3pww_753     -8.2134161
3pww_757     -8.9087944
3pww_762     -7.2361541
3pww_765     -3.6123271
3pww_767     -6.8548679
3pww_772     -4.0509987
3pww_779     -6.2385712
3pww_780     -4.6601205
3pww_783     -6.9223056
3pww_793     -8.8737383
3pww_816     -8.5693779
3pww_822     -8.0515642
3pww_846     -7.4598799
3pww_854     -8.4209471
3pww_859     -8.6081781
3pww_862     -7.4514537
3pww_867     -8.2790699
3pww_874     -6.1541576
3pww_885     -9.2587938
3pww_888     -9.8520546
3pww_889     -8.9609051
3pww_90      -4.4171853
3pww_958     -5.2214046
3pww_982     -5.5541124
3pww_ligand  -9.2816334
