#code        score   
4jfs_10      -5.7386088
4jfs_139     -6.3289928
4jfs_177     -5.513906
4jfs_191     -6.2308588
4jfs_266     -6.2779942
4jfs_274     -6.2944212
4jfs_362     -6.1195879
4jfs_385     -6.510581
4jfs_411     -1.9886832
4jfs_413     -5.2021437
4jfs_414     -0.26625335
4jfs_469     3.0740321
4jfs_508     0.31119502
4jfs_51      -5.5450697
4jfs_527     -3.0096188
4jfs_529     -1.5253339
4jfs_574     -0.69783264
4jfs_579     6.5248098
4jfs_615     -4.4279337
4jfs_669     0.60278565
4jfs_681     7.4790983
4jfs_709     -4.3470793
4jfs_714     -4.2027044
4jfs_739     -4.6046071
4jfs_740     -0.95175517
4jfs_749     -3.8042471
4jfs_750     -3.766546
4jfs_764     -3.474376
4jfs_769     -4.0256643
4jfs_778     -2.237349
4jfs_783     -3.2663801
4jfs_784     -3.6644673
4jfs_787     -2.5404532
4jfs_788     -3.9195588
4jfs_789     -3.2543402
4jfs_792     -1.8675935
4jfs_793     -2.2588377
4jfs_797     -0.79163235
4jfs_818     -6.0387859
4jfs_849     -3.8493059
4jfs_855     -4.0743389
4jfs_857     -2.559839
4jfs_867     -3.4564838
4jfs_877     -2.1877277
4jfs_899     -6.5812144
4jfs_920     -6.2897921
4jfs_958     -5.2891445
4jfs_970     -5.3781772
4jfs_974     -5.5497804
4jfs_981     -4.8101916
4jfs_982     -5.1662335
4jfs_ligand  -5.4456415
