#code        score   
4m0y_214     -1.9368752
4m0y_224     -4.7126966
4m0y_232     -2.1863251
4m0y_252     -5.2616763
4m0y_336     -4.6863403
4m0y_407     -2.7490656
4m0y_410     1.4667197
4m0y_416     -3.9842772
4m0y_426     -1.7396728
4m0y_448     2.552403
4m0y_461     2.8887277
4m0y_467     1.8076239
4m0y_476     -0.65389323
4m0y_485     -4.3501453
4m0y_488     -3.5233543
4m0y_493     5.5880847
4m0y_509     -1.2184203
4m0y_512     -0.48507953
4m0y_513     -3.5646694
4m0y_514     -1.7155069
4m0y_524     -0.8238005
4m0y_525     -1.5662869
4m0y_532     -4.3154402
4m0y_534     0.67869031
4m0y_537     -0.90320623
4m0y_544     0.52317059
4m0y_545     -2.0254037
4m0y_546     -1.4008603
4m0y_547     2.4650464
4m0y_549     -2.4071674
4m0y_558     -1.3770587
4m0y_561     -1.3330859
4m0y_567     5.5772781
4m0y_570     4.1009665
4m0y_574     1.9584244
4m0y_586     -1.3042637
4m0y_589     -3.3898857
4m0y_591     1.2108591
4m0y_592     -0.88140106
4m0y_598     -1.3632195
4m0y_601     -3.4234288
4m0y_610     -3.7816529
4m0y_619     -0.64405912
4m0y_631     -3.1826665
4m0y_646     -3.2819319
4m0y_655     -2.8568828
4m0y_659     -0.14569888
4m0y_662     -1.082325
4m0y_669     0.5250811
4m0y_682     5.335526
4m0y_684     3.5381  
4m0y_686     -0.50140965
4m0y_697     -2.8518898
4m0y_739     -1.9144531
4m0y_740     -1.9735346
4m0y_743     -0.84772235
4m0y_748     -1.5837857
4m0y_750     -1.0024978
4m0y_752     -1.6942316
4m0y_753     -1.2829444
4m0y_756     -2.817724
4m0y_757     -2.2052665
4m0y_758     -1.9106338
4m0y_759     -1.8773263
4m0y_767     -0.47468674
4m0y_814     -1.8519443
4m0y_822     -2.3133521
4m0y_827     -1.5989649
4m0y_839     0.49771973
4m0y_846     -1.4825159
4m0y_856     -1.8829693
4m0y_863     -1.7124743
4m0y_873     -1.8602213
4m0y_883     -2.3827608
4m0y_907     -2.2153587
4m0y_920     -2.6539917
4m0y_922     -0.57368451
4m0y_923     -0.78348976
4m0y_951     -0.48742303
4m0y_952     -0.48098868
4m0y_ligand  -2.1429746
