#code        score   
5c28_113     -2.4593511
5c28_133     -1.9401506
5c28_146     -2.8153293
5c28_2       -2.7689641
5c28_3       -2.7388532
5c28_30      -2.6890645
5c28_324     -2.586252
5c28_345     -2.704627
5c28_35      -2.4203568
5c28_382     -2.6612318
5c28_4       -2.8164222
5c28_424     -2.129622
5c28_451     -1.4174082
5c28_456     -1.2354788
5c28_460     -2.5099361
5c28_469     -0.59599775
5c28_47      -2.7707269
5c28_503     -0.98824596
5c28_508     -2.7138946
5c28_516     -2.344388
5c28_525     -1.9616882
5c28_528     -1.9462262
5c28_531     -0.59258395
5c28_542     -2.7027237
5c28_543     -1.4164561
5c28_549     -2.2642469
5c28_550     -2.4187171
5c28_563     -1.7256635
5c28_569     1.2818919
5c28_572     -1.7374496
5c28_588     -0.53513765
5c28_589     -2.0351706
5c28_593     -0.33597755
5c28_600     -1.7053525
5c28_604     -1.8240203
5c28_614     -1.1662028
5c28_624     -1.5476369
5c28_627     -2.4746892
5c28_643     -1.200814
5c28_664     -2.143451
5c28_675     -2.5622916
5c28_681     -0.94601703
5c28_693     -1.6699152
5c28_702     -1.7021335
5c28_706     -0.65276974
5c28_709     -2.0264614
5c28_71      -2.7065384
5c28_715     -0.82489783
5c28_723     -1.8384429
5c28_725     -1.8632115
5c28_727     -1.4872409
5c28_729     -2.2248211
5c28_735     -1.9557052
5c28_741     -1.8021189
5c28_743     -1.660097
5c28_746     -1.2800025
5c28_747     -2.3716061
5c28_755     -1.4675858
5c28_758     -0.28331062
5c28_761     -2.8260429
5c28_762     -0.52942407
5c28_766     -1.6967438
5c28_767     -1.4125099
5c28_770     -2.484967
5c28_771     -2.454365
5c28_772     -1.2823732
5c28_773     -1.2420815
5c28_775     -1.8062609
5c28_781     -1.4456542
5c28_782     -1.235631
5c28_783     -1.6382362
5c28_784     -0.92668122
5c28_785     -1.4876921
5c28_787     -0.88820291
5c28_788     -1.3646815
5c28_789     -1.5524564
5c28_790     -1.3100865
5c28_791     -0.65778303
5c28_792     -0.83480853
5c28_794     -0.90365022
5c28_807     -0.22252992
5c28_829     -0.97123075
5c28_845     -2.138869
5c28_850     -1.7180688
5c28_858     -1.8736482
5c28_866     -1.8346219
5c28_876     -2.3351765
5c28_877     -0.60127389
5c28_879     -3.1130433
5c28_881     -1.4106479
5c28_882     -2.6322663
5c28_883     -2.2754772
5c28_885     -2.2533009
5c28_928     -1.0778427
5c28_934     -1.3654227
5c28_97      -2.6252871
5c28_ligand  -2.7297692
