#code        score   
1uto_10      -33.917732
1uto_203     -40.169834
1uto_24      -36.659618
1uto_290     -35.396919
1uto_36      -31.374022
1uto_414     -40.94598
1uto_428     -45.376102
1uto_451     -45.052666
1uto_494     -43.733929
1uto_495     -52.282055
1uto_521     -49.653641
1uto_547     -49.345554
1uto_549     -46.721348
1uto_563     -44.619339
1uto_564     -42.827698
1uto_569     -41.648956
1uto_577     -40.702496
1uto_580     -43.19318
1uto_593     -42.787254
1uto_594     -41.319344
1uto_640     -42.812469
1uto_686     -46.933643
1uto_688     -44.461185
1uto_698     -42.177929
1uto_738     -14.273149
1uto_743     -31.253702
1uto_752     -28.24807
1uto_757     -24.284569
1uto_762     -38.379265
1uto_765     -23.081068
1uto_768     -16.685863
1uto_770     -12.92792
1uto_772     -11.695851
1uto_774     -18.573776
1uto_775     -18.123703
1uto_777     -17.772846
1uto_783     -20.737673
1uto_784     -43.806553
1uto_785     -39.173958
1uto_786     -48.593224
1uto_789     -13.506695
1uto_790     -37.631416
1uto_791     -24.097603
1uto_792     -34.149036
1uto_823     -38.770157
1uto_826     -32.166512
1uto_834     -33.910862
1uto_837     -30.502642
1uto_841     -30.316429
1uto_877     -19.302052
1uto_878     -32.063732
1uto_885     -21.69249
1uto_887     -26.186928
1uto_918     -36.841606
1uto_962     -30.543671
1uto_965     -32.297153
1uto_966     -30.335306
1uto_971     -22.693281
1uto_972     -32.574417
1uto_991     -29.130157
1uto_ligand  -41.324436
