#code        score   
2br1_118     -123.43851
2br1_167     -118.32539
2br1_195     -103.49472
2br1_208     -127.68718
2br1_228     -94.00248
2br1_248     -102.17371
2br1_257     -121.44926
2br1_315     -120.19431
2br1_316     -115.83057
2br1_349     -131.61325
2br1_354     -126.19535
2br1_356     -122.87545
2br1_375     -114.90556
2br1_383     -124.22414
2br1_392     -132.77173
2br1_413     -107.42613
2br1_416     -87.575165
2br1_419     -116.63731
2br1_430     -94.8274
2br1_433     -119.89442
2br1_455     -90.152817
2br1_47      -131.4968
2br1_475     -94.243523
2br1_479     -111.52862
2br1_502     -131.32045
2br1_511     -119.56188
2br1_523     -116.29012
2br1_524     -100.95392
2br1_540     -99.853935
2br1_543     -115.78916
2br1_549     -107.30335
2br1_554     -122.37463
2br1_566     -124.12834
2br1_572     -124.22845
2br1_588     -111.34586
2br1_598     -113.7583
2br1_606     -103.21159
2br1_621     -100.3925
2br1_630     -109.29521
2br1_649     -108.85341
2br1_663     -101.82497
2br1_666     -101.01218
2br1_673     -109.77192
2br1_675     -108.08866
2br1_689     -112.97984
2br1_694     -90.228661
2br1_710     -73.082748
2br1_723     -130.03946
2br1_744     -128.58286
2br1_746     -111.10908
2br1_760     -77.894806
2br1_762     -110.35584
2br1_763     -117.67637
2br1_764     -104.71344
2br1_767     -109.36151
2br1_769     -112.46706
2br1_789     -114.59169
2br1_790     -81.618927
2br1_831     -123.46527
2br1_835     -128.24626
2br1_850     -97.553711
2br1_854     -118.77809
2br1_857     -122.14912
2br1_866     -129.8714
2br1_873     -113.49883
2br1_879     -113.56219
2br1_897     -128.7041
2br1_952     -73.523155
2br1_966     -88.044899
2br1_976     -114.99231
2br1_984     -112.30673
2br1_988     -70.698891
2br1_ligand  -122.40105
