#code        score   
3dx1_119     -111.37791
3dx1_20      -125.29297
3dx1_25      -112.92793
3dx1_287     -112.88628
3dx1_29      -122.66336
3dx1_304     -113.62067
3dx1_382     -114.72197
3dx1_39      -123.65821
3dx1_440     -29.950979
3dx1_457     -77.345551
3dx1_464     -45.153599
3dx1_477     -75.52829
3dx1_492     -47.603897
3dx1_497     -72.187492
3dx1_531     -81.155769
3dx1_548     -66.414009
3dx1_554     -66.797867
3dx1_557     -63.102417
3dx1_560     -68.400642
3dx1_566     -58.894508
3dx1_568     -56.241039
3dx1_569     -63.698372
3dx1_570     -63.354309
3dx1_574     -58.098331
3dx1_577     -55.507435
3dx1_579     -57.451477
3dx1_585     -62.371868
3dx1_587     -57.958172
3dx1_588     -54.782257
3dx1_591     -56.428059
3dx1_592     -58.090034
3dx1_594     -56.800903
3dx1_595     -55.301716
3dx1_597     -61.56337
3dx1_603     -42.93293
3dx1_611     -43.168205
3dx1_627     -45.417927
3dx1_634     -36.219894
3dx1_645     -42.061398
3dx1_648     -38.852737
3dx1_651     -32.204735
3dx1_654     -34.241516
3dx1_657     -39.984039
3dx1_665     -56.485153
3dx1_673     -45.216747
3dx1_679     -47.624607
3dx1_683     -41.408031
3dx1_687     -37.185211
3dx1_692     -46.074081
3dx1_693     -63.353504
3dx1_695     -52.907162
3dx1_700     -31.862041
3dx1_735     -11.961952
3dx1_750     -70.041679
3dx1_753     -32.330658
3dx1_756     -90.497009
3dx1_763     -92.68647
3dx1_766     -94.421387
3dx1_775     -102.33847
3dx1_776     -54.923317
3dx1_781     -29.509218
3dx1_784     -49.617516
3dx1_785     -54.165504
3dx1_787     -39.703476
3dx1_791     -52.690506
3dx1_802     -114.57509
3dx1_808     -66.144333
3dx1_840     -102.92622
3dx1_851     -66.093208
3dx1_861     -15.575902
3dx1_961     -101.28339
3dx1_983     -17.320059
3dx1_987     -112.56782
3dx1_989     -114.29039
3dx1_ligand  -123.38643
