#code        score   
3ge7_11      -113.60106
3ge7_140     -171.96201
3ge7_191     -188.93729
3ge7_24      -192.99045
3ge7_262     -189.43289
3ge7_324     -175.1312
3ge7_404     -102.64942
3ge7_411     -109.40922
3ge7_415     -154.6799
3ge7_424     -92.978729
3ge7_426     -113.59122
3ge7_431     -104.89201
3ge7_443     -104.32639
3ge7_448     -107.35538
3ge7_451     -99.856468
3ge7_456     -112.92274
3ge7_460     -114.1338
3ge7_465     -109.17787
3ge7_469     -94.195648
3ge7_470     -80.812286
3ge7_480     -101.91474
3ge7_485     -123.29709
3ge7_488     -137.91887
3ge7_490     -88.497688
3ge7_491     -92.685738
3ge7_498     -96.493294
3ge7_523     -115.67303
3ge7_533     -106.38003
3ge7_536     -103.76979
3ge7_547     -113.75683
3ge7_552     -103.62618
3ge7_556     -113.09073
3ge7_561     -109.01623
3ge7_562     -118.7118
3ge7_567     -102.04436
3ge7_571     -96.743614
3ge7_572     -112.70507
3ge7_573     -100.30447
3ge7_574     -107.27985
3ge7_579     -119.32133
3ge7_582     -115.74348
3ge7_583     -125.53287
3ge7_587     -95.225433
3ge7_589     -117.741
3ge7_590     -92.101486
3ge7_594     -113.4232
3ge7_598     -114.71011
3ge7_599     -112.37984
3ge7_600     -74.079399
3ge7_637     -89.93396
3ge7_638     -91.948586
3ge7_641     -111.55687
3ge7_644     -117.3745
3ge7_651     -98.962135
3ge7_655     -85.47467
3ge7_658     -111.47029
3ge7_659     -91.107956
3ge7_666     -112.74949
3ge7_667     -97.095985
3ge7_674     -79.495262
3ge7_676     -96.397285
3ge7_683     -92.305817
3ge7_684     -102.85493
3ge7_685     -81.586311
3ge7_688     -108.09763
3ge7_717     -191.93202
3ge7_718     -180.14809
3ge7_791     -190.09613
3ge7_794     -181.87108
3ge7_795     -170.1879
3ge7_824     -190.33453
3ge7_895     -195.17249
3ge7_898     -191.79123
3ge7_ligand  -201.97499
