#code        score   
3ivg_10      -162.99828
3ivg_107     -117.60194
3ivg_108     -150.37488
3ivg_14      -146.03386
3ivg_150     -103.52372
3ivg_161     -117.36802
3ivg_209     -179.34344
3ivg_218     -180.63855
3ivg_236     -139.98332
3ivg_250     -162.20178
3ivg_252     -183.74825
3ivg_253     -178.39667
3ivg_255     -179.79729
3ivg_262     -157.29715
3ivg_275     -179.1051
3ivg_276     -172.81374
3ivg_291     -134.25858
3ivg_313     -135.23457
3ivg_330     -119.98782
3ivg_40      -139.7195
3ivg_410     -92.209785
3ivg_438     -105.24739
3ivg_44      -126.83774
3ivg_440     -92.768837
3ivg_45      -119.7893
3ivg_471     -88.886292
3ivg_479     -90.520271
3ivg_48      -142.81122
3ivg_483     -108.43757
3ivg_494     -109.0838
3ivg_497     -92.96196
3ivg_518     -123.17036
3ivg_531     -124.00925
3ivg_542     -132.6698
3ivg_545     -118.69662
3ivg_548     -115.37089
3ivg_55      -90.08976
3ivg_550     -117.06576
3ivg_573     -111.40207
3ivg_590     -111.85559
3ivg_60      -149.71411
3ivg_608     -93.064217
3ivg_624     -94.6483
3ivg_635     -83.333206
3ivg_640     -83.907684
3ivg_659     -92.775841
3ivg_699     -84.789291
3ivg_701     -162.34706
3ivg_703     -139.22261
3ivg_705     -169.56148
3ivg_706     -172.42665
3ivg_710     -132.28242
3ivg_713     -180.38065
3ivg_731     -121.20509
3ivg_733     -118.09771
3ivg_753     -154.18275
3ivg_761     -143.4263
3ivg_769     -135.64711
3ivg_770     -139.57066
3ivg_776     -98.412155
3ivg_779     -83.481934
3ivg_788     -61.780117
3ivg_793     -100.99932
3ivg_794     -110.62959
3ivg_80      -154.90059
3ivg_837     -151.05185
3ivg_849     -121.97334
3ivg_860     -139.69589
3ivg_862     -140.3826
3ivg_866     -106.67632
3ivg_899     -122.739
3ivg_9       -166.2157
3ivg_91      -133.45749
3ivg_915     -74.07354
3ivg_924     -130.44328
3ivg_926     -111.8474
3ivg_940     -109.18916
3ivg_946     -118.91811
3ivg_952     -109.48244
3ivg_954     -161.28522
3ivg_961     -101.36553
3ivg_98      -149.33072
3ivg_983     -62.091831
3ivg_989     -112.30851
3ivg_993     -144.93364
3ivg_ligand  -168.67865
