#code        score   
3qqs_100     -109.70959
3qqs_102     -110.39847
3qqs_103     -99.901733
3qqs_105     -96.503258
3qqs_114     -101.18506
3qqs_157     -107.263
3qqs_158     -111.015
3qqs_18      -95.066765
3qqs_324     -123.10596
3qqs_35      -118.18269
3qqs_375     -97.475204
3qqs_386     -118.41956
3qqs_396     -119.56647
3qqs_404     -97.655991
3qqs_435     -106.42966
3qqs_447     -67.029907
3qqs_449     -73.154228
3qqs_465     -94.465698
3qqs_473     -72.270897
3qqs_485     -78.503944
3qqs_497     -106.00407
3qqs_498     -77.150955
3qqs_500     -94.045609
3qqs_505     -101.1461
3qqs_511     -96.869385
3qqs_533     -93.343468
3qqs_534     -90.941277
3qqs_538     -80.855171
3qqs_542     -97.788307
3qqs_545     -88.229179
3qqs_546     -86.897629
3qqs_555     -87.001694
3qqs_574     -80.46402
3qqs_585     -82.411072
3qqs_608     -80.262268
3qqs_612     -76.586212
3qqs_625     -69.289902
3qqs_629     -74.232338
3qqs_632     -78.498306
3qqs_635     -70.746872
3qqs_636     -63.797821
3qqs_638     -78.586212
3qqs_639     -78.737465
3qqs_641     -67.649559
3qqs_646     -68.693932
3qqs_648     -75.245926
3qqs_653     -69.696846
3qqs_654     -79.772507
3qqs_657     -73.162056
3qqs_660     -66.361542
3qqs_670     -81.067596
3qqs_679     -76.653168
3qqs_682     -64.069611
3qqs_695     -64.156631
3qqs_696     -72.613785
3qqs_700     -65.637672
3qqs_715     -118.52373
3qqs_72      -96.787369
3qqs_732     -88.356125
3qqs_739     -90.73217
3qqs_751     -33.71973
3qqs_806     -97.689323
3qqs_86      -102.67403
3qqs_ligand  -112.6602
