#code        score   
3uex_1000    -74.10672
3uex_102     -102.33238
3uex_12      -99.905823
3uex_187     -100.36142
3uex_203     -86.275444
3uex_212     -103.96975
3uex_224     -93.689178
3uex_227     -97.841286
3uex_244     -100.491
3uex_247     -97.450157
3uex_25      -97.65667
3uex_254     -93.259209
3uex_255     -106.67365
3uex_267     -94.04982
3uex_276     -103.42767
3uex_292     -98.279991
3uex_299     -87.269211
3uex_401     -66.611839
3uex_409     -78.736839
3uex_411     -83.163956
3uex_413     -94.424133
3uex_419     -71.404808
3uex_420     -76.231247
3uex_424     -76.380836
3uex_425     -69.811539
3uex_444     -84.528862
3uex_447     -79.96315
3uex_452     -68.469887
3uex_458     -74.866341
3uex_476     -76.458733
3uex_482     -65.467049
3uex_483     -71.011459
3uex_485     -88.172989
3uex_491     -73.903099
3uex_493     -72.017303
3uex_498     -70.304283
3uex_499     -73.265877
3uex_508     -84.80114
3uex_517     -89.496017
3uex_521     -91.405884
3uex_522     -80.781441
3uex_542     -72.231056
3uex_56      -99.421211
3uex_562     -79.013474
3uex_566     -84.614601
3uex_576     -70.40155
3uex_581     -77.211823
3uex_585     -78.000107
3uex_588     -83.274086
3uex_627     -73.053925
3uex_63      -100.92046
3uex_630     -72.100693
3uex_640     -67.117607
3uex_648     -67.07325
3uex_652     -72.57399
3uex_657     -73.872307
3uex_660     -74.038391
3uex_667     -62.868511
3uex_668     -73.942078
3uex_678     -54.429829
3uex_688     -56.379101
3uex_690     -78.695381
3uex_693     -66.110054
3uex_696     -65.198639
3uex_697     -75.657967
3uex_733     -78.69915
3uex_743     -96.926186
3uex_748     -84.138443
3uex_76      -99.948364
3uex_764     -85.855606
3uex_772     -98.78508
3uex_775     -81.721474
3uex_778     -75.519508
3uex_782     -87.978752
3uex_794     -86.724762
3uex_815     -102.9289
3uex_836     -99.56385
3uex_859     -94.182449
3uex_90      -104.57261
3uex_94      -78.631836
3uex_98      -102.60349
3uex_ligand  -93.632744
