#code        score   
3up2_100     -128.88049
3up2_106     -155.91818
3up2_112     -115.81936
3up2_113     -100.16115
3up2_156     -102.31451
3up2_160     -115.58279
3up2_167     -98.495651
3up2_168     -103.17261
3up2_189     -143.09795
3up2_194     -92.201569
3up2_198     -147.89151
3up2_206     -122.64883
3up2_220     -144.08031
3up2_231     -147.09506
3up2_238     -136.37997
3up2_247     -108.94521
3up2_276     -130.46881
3up2_29      -138.5755
3up2_291     -123.17661
3up2_302     -145.89821
3up2_310     -113.3876
3up2_334     -154.11644
3up2_340     -111.47303
3up2_345     -136.50865
3up2_349     -99.036285
3up2_358     -116.62688
3up2_363     -127.72457
3up2_385     -118.60133
3up2_4       -139.40514
3up2_40      -161.32851
3up2_400     -153.09854
3up2_401     -100.50581
3up2_413     -97.662628
3up2_421     -112.34325
3up2_430     -120.4434
3up2_434     -79.260811
3up2_435     -105.61019
3up2_440     -94.161713
3up2_446     -94.496269
3up2_463     -91.466179
3up2_464     -88.230331
3up2_499     -102.19397
3up2_510     -112.37073
3up2_515     -114.99452
3up2_518     -106.46521
3up2_520     -116.50403
3up2_530     -93.366745
3up2_532     -113.28534
3up2_533     -104.15807
3up2_536     -109.20825
3up2_539     -111.50969
3up2_543     -111.74879
3up2_551     -102.07288
3up2_555     -86.449135
3up2_565     -102.56397
3up2_569     -95.436371
3up2_570     -102.7951
3up2_579     -100.33305
3up2_58      -134.42406
3up2_581     -94.549789
3up2_584     -84.55201
3up2_585     -86.771278
3up2_593     -80.414223
3up2_594     -115.64457
3up2_596     -107.72934
3up2_60      -135.92195
3up2_605     -95.968437
3up2_613     -94.212494
3up2_617     -71.672249
3up2_624     -103.87294
3up2_631     -74.52494
3up2_633     -96.888046
3up2_639     -71.981262
3up2_641     -63.250774
3up2_649     -72.902351
3up2_665     -81.814857
3up2_673     -92.114998
3up2_676     -91.216057
3up2_682     -55.410069
3up2_696     -71.537651
3up2_859     -76.952538
3up2_ligand  -155.40364
