#code        score   
3utu_102     -69.994087
3utu_109     -61.394859
3utu_129     -80.870972
3utu_132     -92.681778
3utu_148     -33.056087
3utu_154     -61.532875
3utu_162     -127.27512
3utu_164     -63.373245
3utu_166     -52.35458
3utu_170     -73.036346
3utu_180     -152.35498
3utu_183     -54.414013
3utu_185     -93.118843
3utu_192     -76.190353
3utu_2       -57.102619
3utu_200     -49.251865
3utu_202     -121.57404
3utu_203     -89.598152
3utu_209     -163.92836
3utu_211     -148.20723
3utu_213     -117.05495
3utu_220     -91.458626
3utu_221     -133.21515
3utu_233     -65.121376
3utu_237     -162.28221
3utu_241     -148.43044
3utu_243     -91.347092
3utu_249     -120.28532
3utu_250     -153.10048
3utu_253     -155.47903
3utu_255     -148.25473
3utu_271     -145.05135
3utu_283     -149.51205
3utu_300     -153.59079
3utu_321     -58.478512
3utu_33      -132.10249
3utu_340     -27.92988
3utu_349     -99.673241
3utu_36      -111.42121
3utu_374     -152.52466
3utu_409     -19.827431
3utu_422     -72.443535
3utu_433     -42.11282
3utu_436     -34.291199
3utu_473     -74.552795
3utu_474     -77.107361
3utu_475     -35.022797
3utu_491     -53.413292
3utu_50      -75.85405
3utu_532     -15.430158
3utu_537     -25.785425
3utu_570     -53.483959
3utu_578     -10.346362
3utu_58      -42.302044
3utu_593     -54.406898
3utu_599     -22.488535
3utu_6       -56.287525
3utu_606     -28.288832
3utu_61      -71.536537
3utu_620     -63.526375
3utu_640     -18.161577
3utu_683     26.637947
3utu_687     -6.8790135
3utu_691     -33.502884
3utu_701     -159.71669
3utu_705     -128.36946
3utu_712     -123.09599
3utu_713     -132.56671
3utu_722     -130.85548
3utu_725     -137.85971
3utu_730     -128.16162
3utu_741     -144.77493
3utu_747     -94.111069
3utu_75      -35.751415
3utu_751     -119.21033
3utu_759     -125.32401
3utu_767     -144.50963
3utu_775     -136.06068
3utu_777     -120.05546
3utu_778     -126.51591
3utu_78      -31.997568
3utu_781     -117.16857
3utu_785     -123.4024
3utu_797     -124.32704
3utu_805     -131.84175
3utu_84      -75.554657
3utu_840     -118.8116
3utu_843     -126.48612
3utu_844     -112.85719
3utu_86      -49.477432
3utu_94      -43.408401
3utu_963     -101.09023
3utu_978     -111.75147
3utu_985     -101.14288
3utu_994     -116.40456
3utu_995     -110.26852
3utu_ligand  -159.6274
