#code        score   
3zso_124     -44.322399
3zso_139     -102.29321
3zso_140     -67.486626
3zso_148     -95.412132
3zso_201     -80.214966
3zso_217     -72.477837
3zso_221     -67.291878
3zso_224     -82.978485
3zso_23      -47.048424
3zso_233     -117.96008
3zso_240     -84.02829
3zso_241     -54.450825
3zso_250     -89.702637
3zso_251     -96.018707
3zso_255     -81.84156
3zso_263     -124.79031
3zso_266     -94.070717
3zso_269     -73.521515
3zso_275     -108.64557
3zso_282     -89.891014
3zso_285     -97.934273
3zso_287     -106.05396
3zso_288     -69.49675
3zso_293     -82.25174
3zso_295     -84.746513
3zso_325     -57.418701
3zso_33      -50.136871
3zso_350     -84.055984
3zso_351     -57.573719
3zso_353     -83.36956
3zso_387     -98.69371
3zso_394     -87.038429
3zso_397     -58.507439
3zso_410     -48.097279
3zso_423     -46.654198
3zso_46      -69.037971
3zso_499     -29.66468
3zso_532     -33.556595
3zso_545     -35.386452
3zso_573     -26.529245
3zso_584     -29.851559
3zso_585     -34.535141
3zso_587     -20.181835
3zso_595     -12.754977
3zso_6       -135.9084
3zso_608     -45.876358
3zso_648     -3.9966204
3zso_652     -15.624527
3zso_653     -17.111481
3zso_662     -48.437439
3zso_676     -21.519638
3zso_686     -28.268137
3zso_738     -80.024284
3zso_799     -129.50482
3zso_810     -126.93082
3zso_818     -121.4629
3zso_84      -52.083241
3zso_847     -106.9537
3zso_866     -113.61699
3zso_87      -61.179062
3zso_871     -94.619888
3zso_894     -76.277084
3zso_898     -118.50501
3zso_899     -142.0388
3zso_902     -129.50482
3zso_910     -127.78323
3zso_920     -126.93082
3zso_923     -127.96097
3zso_925     -127.04834
3zso_93      -93.626877
3zso_933     -129.80243
3zso_94      -124.54993
3zso_959     -104.74094
3zso_980     -116.70004
3zso_988     -79.585884
3zso_994     -91.695724
3zso_ligand  -121.84546
