#code        score   
4kzu_112     -105.60796
4kzu_206     -107.80382
4kzu_256     -102.47549
4kzu_286     -104.4957
4kzu_411     -86.745384
4kzu_422     -65.777779
4kzu_424     -100.48357
4kzu_426     -74.308907
4kzu_429     -75.613846
4kzu_432     -68.99395
4kzu_439     -83.473434
4kzu_455     -81.805779
4kzu_468     -52.852058
4kzu_472     -60.824532
4kzu_474     -77.964615
4kzu_481     -80.078491
4kzu_483     -69.954964
4kzu_491     -69.977837
4kzu_492     -71.444267
4kzu_497     -42.79784
4kzu_499     -52.918198
4kzu_5       -104.06994
4kzu_504     -99.486282
4kzu_524     -92.140099
4kzu_537     -57.85355
4kzu_548     -84.212387
4kzu_549     -68.696396
4kzu_552     -76.489853
4kzu_553     -68.440041
4kzu_559     -62.249641
4kzu_565     -76.057198
4kzu_569     -83.154747
4kzu_570     -70.693512
4kzu_571     -69.980934
4kzu_574     -73.424843
4kzu_575     -78.404961
4kzu_577     -65.807808
4kzu_578     -85.549072
4kzu_582     -72.179161
4kzu_592     -62.972019
4kzu_593     -68.77243
4kzu_594     -79.815887
4kzu_599     -63.616505
4kzu_601     -91.168129
4kzu_610     -107.80727
4kzu_618     -81.81366
4kzu_619     -69.79245
4kzu_641     -60.825153
4kzu_660     -64.051872
4kzu_661     -70.094696
4kzu_662     -74.656723
4kzu_663     -79.109947
4kzu_668     -74.848701
4kzu_669     -96.231949
4kzu_675     -69.057938
4kzu_678     -77.562416
4kzu_680     -74.089714
4kzu_682     -69.383659
4kzu_690     -59.23151
4kzu_696     -71.829529
4kzu_700     -60.612125
4kzu_708     -58.776466
4kzu_709     -62.84671
4kzu_710     -55.270294
4kzu_712     -44.501034
4kzu_735     -23.550112
4kzu_738     -55.116409
4kzu_740     -49.29237
4kzu_741     -39.395874
4kzu_747     -43.538998
4kzu_752     -34.003292
4kzu_753     -51.244789
4kzu_755     -47.484089
4kzu_757     -42.440937
4kzu_761     -38.095493
4kzu_762     -51.004589
4kzu_775     -32.895008
4kzu_776     -64.927956
4kzu_777     -45.014072
4kzu_786     -28.405703
4kzu_789     -26.839067
4kzu_800     -53.99271
4kzu_847     -34.471333
4kzu_856     -66.757904
4kzu_857     -20.628305
4kzu_861     -39.339481
4kzu_863     -36.526562
4kzu_865     -31.270308
4kzu_867     -53.402542
4kzu_872     -58.693165
4kzu_877     -55.981842
4kzu_878     -26.227108
4kzu_883     -21.805984
4kzu_889     -35.194489
4kzu_907     -79.144272
4kzu_909     -68.417992
4kzu_924     -49.756027
4kzu_932     -21.844488
4kzu_956     -44.93261
4kzu_961     -34.505604
4kzu_ligand  -110.49333
