#code        score   
1h22_1       -6.81008
1h22_12      -6.82063
1h22_140     -7.34834
1h22_156     -8.43975
1h22_186     -6.89523
1h22_187     -7.56673
1h22_197     -6.96120
1h22_212     -6.39866
1h22_225     -3.40906
1h22_231     -7.42943
1h22_238     -5.86843
1h22_241     -6.51625
1h22_261     -4.13664
1h22_267     -7.89415
1h22_276     -5.84935
1h22_288     -8.04301
1h22_291     -3.78200
1h22_292     -2.91102
1h22_300     -7.14370
1h22_311     -7.74143
1h22_313     -7.89652
1h22_319     -7.31490
1h22_346     -9.34836
1h22_354     -8.58593
1h22_363     -9.28887
1h22_384     -8.81785
1h22_393     -7.87553
1h22_4       -8.50588
1h22_403     0.61870 
1h22_423     17.98508
1h22_442     2.01081 
1h22_448     8.27369 
1h22_464     8.31879 
1h22_471     17.23588
1h22_477     10.62839
1h22_494     16.16846
1h22_506     3.25434 
1h22_512     2.53705 
1h22_527     13.72869
1h22_535     -1.11649
1h22_540     -2.79337
1h22_543     -0.60959
1h22_565     14.49555
1h22_569     3.34465 
1h22_573     7.56083 
1h22_590     6.78821 
1h22_595     9.66604 
1h22_596     8.54342 
1h22_606     5.66121 
1h22_651     6.49990 
1h22_653     3.49485 
1h22_679     12.36851
1h22_685     -2.06889
1h22_692     7.27318 
1h22_716     -7.11224
1h22_722     -7.25249
1h22_738     -7.38303
1h22_75      -6.52521
1h22_772     -2.33707
1h22_774     -3.48038
1h22_777     -2.61588
1h22_783     -0.74639
1h22_786     -0.30836
1h22_788     1.29117 
1h22_812     -6.22263
1h22_828     -6.42441
1h22_852     -8.01412
1h22_864     -4.31988
1h22_89      -7.56052
1h22_918     -6.67654
1h22_95      -8.77844
1h22_957     -7.24380
1h22_ligand  -9.71352
