#code        score   
1nvq_402     8.18656 
1nvq_405     -9.24986
1nvq_410     6.59308 
1nvq_412     -6.62334
1nvq_424     18.99646
1nvq_427     3.74561 
1nvq_431     16.99261
1nvq_439     11.29861
1nvq_444     12.34155
1nvq_446     1.00423 
1nvq_451     16.85679
1nvq_461     12.98862
1nvq_464     7.79031 
1nvq_473     13.95440
1nvq_477     7.43605 
1nvq_481     16.57973
1nvq_490     3.64305 
1nvq_491     20.70650
1nvq_498     -2.09722
1nvq_500     9.26334 
1nvq_513     -4.47010
1nvq_522     -5.28975
1nvq_524     -7.35105
1nvq_543     -4.13487
1nvq_548     -3.29884
1nvq_553     -4.27397
1nvq_555     -0.98151
1nvq_559     -6.34990
1nvq_564     -4.09653
1nvq_566     -2.68800
1nvq_573     3.32775 
1nvq_583     -0.22280
1nvq_588     -3.18631
1nvq_600     14.90260
1nvq_605     -4.20992
1nvq_606     17.66062
1nvq_632     -3.32304
1nvq_634     6.45199 
1nvq_672     5.24046 
1nvq_674     8.26751 
1nvq_687     -1.38714
1nvq_689     3.48053 
1nvq_692     4.63946 
1nvq_708     -11.65820
1nvq_710     -12.36928
1nvq_723     -11.49720
1nvq_731     -10.65107
1nvq_738     -10.48681
1nvq_740     -6.11261
1nvq_742     -8.34960
1nvq_743     -7.60314
1nvq_745     -6.43859
1nvq_746     -7.39256
1nvq_747     -4.17838
1nvq_752     -7.09731
1nvq_759     -5.33165
1nvq_760     -5.19185
1nvq_761     -5.33435
1nvq_762     -5.02884
1nvq_765     -4.81036
1nvq_766     -3.01542
1nvq_767     -4.50828
1nvq_770     0.01734 
1nvq_771     -0.78166
1nvq_772     -3.57720
1nvq_775     -1.93049
1nvq_776     1.06205 
1nvq_777     -1.40573
1nvq_778     -4.15156
1nvq_783     -0.65100
1nvq_867     -11.72460
1nvq_871     -9.80323
1nvq_885     -4.34299
1nvq_927     -12.54660
1nvq_940     -12.74456
1nvq_ligand  -12.55767
