#code        score   
1ydt_1000    -4.96904
1ydt_121     -8.59088
1ydt_204     -7.28033
1ydt_207     -6.37007
1ydt_214     -6.34006
1ydt_215     -5.97974
1ydt_241     -5.85360
1ydt_246     -6.20104
1ydt_251     -6.90283
1ydt_253     -5.42287
1ydt_254     -6.21189
1ydt_260     -6.68436
1ydt_263     -5.74201
1ydt_267     -7.44273
1ydt_271     -5.21040
1ydt_275     -6.60977
1ydt_277     -6.64096
1ydt_278     -3.59403
1ydt_279     -7.12386
1ydt_281     -7.06237
1ydt_283     -4.31894
1ydt_300     -3.71760
1ydt_309     -7.34896
1ydt_324     -7.78469
1ydt_34      -7.09018
1ydt_386     -8.54986
1ydt_40      -7.52160
1ydt_401     -5.74130
1ydt_404     -2.30648
1ydt_408     -2.54344
1ydt_412     4.83577 
1ydt_417     2.62473 
1ydt_425     4.32185 
1ydt_432     7.82079 
1ydt_446     6.70447 
1ydt_46      -7.27892
1ydt_464     3.35847 
1ydt_47      -8.06448
1ydt_470     2.83073 
1ydt_474     -2.58697
1ydt_483     0.02964 
1ydt_487     -0.08731
1ydt_494     1.78349 
1ydt_495     4.23837 
1ydt_500     -0.10944
1ydt_532     2.24761 
1ydt_538     -3.02057
1ydt_539     -3.06511
1ydt_549     1.56148 
1ydt_556     -1.14286
1ydt_558     -2.97889
1ydt_564     5.78065 
1ydt_576     6.18487 
1ydt_578     12.57752
1ydt_609     4.19034 
1ydt_625     -1.21433
1ydt_632     7.75750 
1ydt_643     4.54073 
1ydt_644     0.82613 
1ydt_655     2.19073 
1ydt_659     9.97942 
1ydt_677     1.97107 
1ydt_678     8.91295 
1ydt_684     0.09388 
1ydt_694     3.44520 
1ydt_697     3.31168 
1ydt_705     -7.62698
1ydt_709     -6.98206
1ydt_711     -6.99607
1ydt_715     -5.78172
1ydt_730     -2.90094
1ydt_75      -8.68027
1ydt_750     -0.88112
1ydt_766     -4.69794
1ydt_775     -5.63598
1ydt_785     -5.56072
1ydt_787     -5.29096
1ydt_817     -7.46847
1ydt_818     -3.21286
1ydt_832     -6.49149
1ydt_837     -3.88532
1ydt_840     -6.18721
1ydt_882     -6.68127
1ydt_892     -4.89781
1ydt_916     -5.52530
1ydt_918     -5.73886
1ydt_926     -6.91567
1ydt_936     -3.64371
1ydt_953     -4.98477
1ydt_994     -5.05743
1ydt_ligand  -8.34381
