#code        score   
2wer_112     -8.20355
2wer_123     -4.98417
2wer_170     -7.43274
2wer_177     -7.57586
2wer_337     -7.70818
2wer_345     -8.63728
2wer_390     -8.47951
2wer_403     6.10925 
2wer_404     -0.56140
2wer_414     3.60685 
2wer_419     21.24035
2wer_422     7.93939 
2wer_424     -0.37039
2wer_426     -1.06023
2wer_437     11.32851
2wer_439     10.95219
2wer_441     12.67838
2wer_442     -2.18177
2wer_445     11.75032
2wer_447     13.36924
2wer_459     18.59491
2wer_460     24.86367
2wer_463     6.60143 
2wer_473     17.15705
2wer_478     7.55606 
2wer_479     14.86685
2wer_485     -2.09994
2wer_486     10.39500
2wer_489     5.31277 
2wer_557     0.80988 
2wer_57      -6.60929
2wer_570     0.24623 
2wer_580     3.58307 
2wer_581     6.31506 
2wer_589     -2.60493
2wer_596     1.64759 
2wer_646     2.96255 
2wer_658     3.72055 
2wer_663     1.19288 
2wer_669     -0.34899
2wer_676     8.69131 
2wer_678     3.11701 
2wer_688     5.03060 
2wer_697     -0.34816
2wer_719     -3.38612
2wer_728     -3.28796
2wer_73      -8.42895
2wer_737     -4.27494
2wer_739     -3.36606
2wer_740     -2.36249
2wer_743     -3.53806
2wer_745     -3.51959
2wer_751     -3.97498
2wer_752     -2.55690
2wer_759     -0.65775
2wer_763     -5.15750
2wer_764     -4.33390
2wer_765     -3.40092
2wer_767     -3.76508
2wer_768     -3.21253
2wer_769     -2.78535
2wer_773     1.37532 
2wer_774     -1.59430
2wer_775     0.71526 
2wer_777     2.29762 
2wer_779     -8.00920
2wer_790     -5.44031
2wer_792     -4.82722
2wer_810     -4.13586
2wer_812     -1.85926
2wer_838     -3.29651
2wer_853     -4.56399
2wer_858     -3.88325
2wer_866     -4.42674
2wer_88      -8.00823
2wer_888     -7.29095
2wer_899     -5.28831
2wer_920     -2.32312
2wer_934     -6.04768
2wer_935     -1.74630
2wer_941     -5.36237
2wer_944     -4.42816
2wer_952     -4.83777
2wer_957     -5.45855
2wer_ligand  -8.62061
