#code        score   
3ozs_10      -3.38189
3ozs_103     -3.66358
3ozs_107     -4.15253
3ozs_11      -7.72974
3ozs_110     -0.15344
3ozs_113     -3.29908
3ozs_120     -2.50671
3ozs_123     -3.71225
3ozs_130     -4.75199
3ozs_136     -5.91508
3ozs_14      -6.23019
3ozs_149     -1.46629
3ozs_162     -1.73315
3ozs_201     -6.80868
3ozs_221     -4.94870
3ozs_224     -4.14091
3ozs_24      -5.83135
3ozs_251     -9.48667
3ozs_255     -6.93883
3ozs_269     -7.77915
3ozs_273     3.63891 
3ozs_275     2.75711 
3ozs_28      -6.47941
3ozs_307     -9.23557
3ozs_318     -5.46456
3ozs_339     -5.34814
3ozs_345     -6.60887
3ozs_346     -4.95738
3ozs_353     -6.33638
3ozs_373     -8.89663
3ozs_379     -5.52023
3ozs_389     -6.06493
3ozs_406     7.90773 
3ozs_413     25.02993
3ozs_417     15.23912
3ozs_430     7.96339 
3ozs_431     14.93922
3ozs_432     24.19812
3ozs_439     15.27821
3ozs_44      -8.48867
3ozs_442     14.89194
3ozs_443     9.71545 
3ozs_446     29.69853
3ozs_451     7.73195 
3ozs_46      -2.92806
3ozs_465     18.23097
3ozs_478     24.79567
3ozs_479     15.12086
3ozs_48      -5.66438
3ozs_480     19.61454
3ozs_484     24.48629
3ozs_487     3.46660 
3ozs_494     9.56643 
3ozs_496     21.70969
3ozs_505     7.66625 
3ozs_517     11.14171
3ozs_529     10.47233
3ozs_531     2.88475 
3ozs_536     5.49992 
3ozs_537     0.29546 
3ozs_542     5.50624 
3ozs_546     3.29780 
3ozs_550     7.66238 
3ozs_554     8.73029 
3ozs_558     5.24752 
3ozs_559     1.54190 
3ozs_560     2.19526 
3ozs_567     8.77853 
3ozs_574     0.55675 
3ozs_575     3.99681 
3ozs_585     0.15070 
3ozs_586     4.42090 
3ozs_593     5.53033 
3ozs_596     4.15510 
3ozs_6       -7.69526
3ozs_60      -5.16263
3ozs_611     1.84696 
3ozs_63      -4.22647
3ozs_646     2.59553 
3ozs_649     2.16866 
3ozs_656     13.01629
3ozs_659     12.79347
3ozs_664     22.03678
3ozs_666     5.46642 
3ozs_682     11.39600
3ozs_72      -8.09994
3ozs_756     -4.41719
3ozs_758     -4.48803
3ozs_761     -2.99040
3ozs_764     -2.81888
3ozs_768     -4.51890
3ozs_778     -2.85332
3ozs_821     -3.72541
3ozs_83      -8.28488
3ozs_842     1.91700 
3ozs_854     0.89070 
3ozs_870     -2.61072
3ozs_882     -2.27027
3ozs_899     -6.77368
3ozs_91      -4.57520
3ozs_ligand  -9.50592
