#code        score   
4dli_136     -8.83465
4dli_154     -9.02194
4dli_409     -5.92385
4dli_414     -5.38691
4dli_42      -9.32398
4dli_422     5.39066 
4dli_426     -5.85753
4dli_431     -3.82415
4dli_447     -0.76526
4dli_455     -1.71186
4dli_465     -0.89227
4dli_481     2.00611 
4dli_486     4.27092 
4dli_489     4.97873 
4dli_498     -2.79950
4dli_501     -8.24372
4dli_502     -7.30099
4dli_504     -7.21236
4dli_505     -3.90082
4dli_521     -5.96204
4dli_524     -5.77023
4dli_530     -6.36090
4dli_546     -2.29228
4dli_547     -3.48163
4dli_550     -4.56011
4dli_567     -3.38916
4dli_57      -8.97016
4dli_571     -5.16942
4dli_573     -4.28569
4dli_575     -3.54984
4dli_580     -3.32473
4dli_587     -2.24015
4dli_591     -5.00187
4dli_594     -3.84928
4dli_595     -2.56502
4dli_637     -3.58280
4dli_641     -1.26648
4dli_659     0.57508 
4dli_660     -1.38576
4dli_664     -3.19699
4dli_666     -0.57096
4dli_679     -4.51625
4dli_684     -3.03769
4dli_693     3.71251 
4dli_710     -5.12634
4dli_734     -4.65043
4dli_738     -2.64799
4dli_750     -8.69559
4dli_756     -0.60606
4dli_759     -3.95639
4dli_769     -5.49569
4dli_770     -5.20302
4dli_772     -1.10329
4dli_776     -2.66021
4dli_777     -3.19798
4dli_778     -3.71114
4dli_781     -2.40804
4dli_783     -5.61692
4dli_784     -6.66301
4dli_786     -3.59883
4dli_787     -2.78003
4dli_788     -1.87535
4dli_789     -2.79641
4dli_792     0.60116 
4dli_793     -1.74203
4dli_868     -3.44567
4dli_895     -2.92301
4dli_948     -5.28398
4dli_96      -8.71768
4dli_ligand  -8.80704
