#code        score   
4j28_110     -5.86380
4j28_123     -5.39963
4j28_154     -5.84334
4j28_173     -6.01876
4j28_183     -6.38309
4j28_196     -5.16916
4j28_208     -1.55898
4j28_215     0.68312 
4j28_227     -0.96200
4j28_265     -1.57652
4j28_300     -2.26264
4j28_303     -6.88825
4j28_313     -6.87301
4j28_406     -3.90154
4j28_410     1.79944 
4j28_42      -6.20605
4j28_425     -4.03749
4j28_429     4.46622 
4j28_437     -2.30253
4j28_439     -1.06366
4j28_451     -3.72015
4j28_457     0.58448 
4j28_458     3.66502 
4j28_494     0.81951 
4j28_534     -1.15590
4j28_536     -2.86828
4j28_543     3.40401 
4j28_555     -0.23785
4j28_562     1.27519 
4j28_566     -0.16160
4j28_574     -0.26770
4j28_579     -3.19205
4j28_580     1.65096 
4j28_583     -4.37674
4j28_587     -4.85909
4j28_593     3.66361 
4j28_600     -3.32734
4j28_646     2.25929 
4j28_657     -3.22099
4j28_661     -1.47598
4j28_691     16.33598
4j28_692     -5.26461
4j28_732     -3.37119
4j28_737     -2.34598
4j28_743     2.23308 
4j28_744     -3.77172
4j28_753     -5.21031
4j28_758     -2.83949
4j28_772     0.66374 
4j28_775     -3.14019
4j28_785     -1.41415
4j28_790     2.14781 
4j28_792     13.59273
4j28_794     -6.07567
4j28_828     -0.18267
4j28_829     1.38322 
4j28_846     -3.38545
4j28_852     -4.95562
4j28_858     -2.97835
4j28_863     -1.62662
4j28_864     -3.27115
4j28_866     -2.98818
4j28_867     -3.38451
4j28_877     5.13354 
4j28_899     -4.54026
4j28_912     -6.25360
4j28_944     -2.53957
4j28_961     -3.17840
4j28_981     -0.18858
4j28_988     2.41014 
4j28_ligand  -6.09498
