#code        score   
4m0z_402     2.31151 
4m0z_41      -9.29207
4m0z_415     -4.94694
4m0z_436     -3.87193
4m0z_439     1.36113 
4m0z_443     5.03404 
4m0z_444     1.11554 
4m0z_450     -5.10063
4m0z_455     2.90514 
4m0z_456     -1.72038
4m0z_457     -0.45932
4m0z_462     -5.26861
4m0z_473     -1.30740
4m0z_477     4.14534 
4m0z_487     -0.15124
4m0z_492     6.61572 
4m0z_494     8.13927 
4m0z_501     -7.77816
4m0z_505     -7.04749
4m0z_508     -5.09082
4m0z_516     -9.23943
4m0z_517     3.11597 
4m0z_526     0.63550 
4m0z_529     -3.80615
4m0z_532     1.82996 
4m0z_539     -3.12135
4m0z_552     2.65488 
4m0z_558     5.27222 
4m0z_560     5.80767 
4m0z_568     1.40635 
4m0z_571     3.89937 
4m0z_574     2.88944 
4m0z_575     2.54051 
4m0z_580     1.16495 
4m0z_581     3.17223 
4m0z_584     -0.69921
4m0z_600     7.83656 
4m0z_601     0.86842 
4m0z_603     -4.59732
4m0z_614     -4.53002
4m0z_615     -3.76798
4m0z_626     -6.45925
4m0z_633     -4.67359
4m0z_634     -1.56152
4m0z_640     -2.08762
4m0z_641     4.16316 
4m0z_646     -1.62638
4m0z_648     0.70960 
4m0z_650     -0.06062
4m0z_662     4.93740 
4m0z_666     4.15457 
4m0z_669     -1.74612
4m0z_678     0.34901 
4m0z_680     -1.92378
4m0z_683     -2.69060
4m0z_684     -3.11383
4m0z_685     -2.70627
4m0z_686     -1.64201
4m0z_690     3.39557 
4m0z_695     0.90007 
4m0z_696     -1.53274
4m0z_697     -0.21505
4m0z_699     2.30187 
4m0z_700     -2.48127
4m0z_779     -2.57828
4m0z_869     -5.34824
4m0z_878     -2.16950
4m0z_880     1.58342 
4m0z_882     -1.66529
4m0z_883     -3.36184
4m0z_ligand  -10.60176
