#code        score   
1u1b_124     38.92   
1u1b_149     44.04   
1u1b_150     -1975.05
1u1b_154     -3959.31
1u1b_155     50.01   
1u1b_157     42.58   
1u1b_160     -2974.60
1u1b_166     42.10   
1u1b_171     32.56   
1u1b_172     40.42   
1u1b_176     29.15   
1u1b_18      18.98   
1u1b_183     27.19   
1u1b_191     -6966.94
1u1b_195     48.48   
1u1b_196     27.15   
1u1b_198     42.81   
1u1b_2       52.57   
1u1b_21      1.02    
1u1b_214     27.69   
1u1b_220     -10.02  
1u1b_224     25.56   
1u1b_232     -12.38  
1u1b_237     -14.95  
1u1b_24      -29.18  
1u1b_255     -8.04   
1u1b_256     -9.92   
1u1b_258     14.16   
1u1b_26      -11.29  
1u1b_260     1.09    
1u1b_263     10.72   
1u1b_27      -17.85  
1u1b_275     -19.93  
1u1b_277     -49.54  
1u1b_28      -10.03  
1u1b_295     -0.52   
1u1b_298     -5.12   
1u1b_3       -1.86   
1u1b_30      16.16   
1u1b_330     42.13   
1u1b_331     33.15   
1u1b_340     52.47   
1u1b_351     44.60   
1u1b_356     49.73   
1u1b_385     63.75   
1u1b_388     35.48   
1u1b_390     -6965.48
1u1b_40      -22.30  
1u1b_430     -272.92 
1u1b_432     -221.50 
1u1b_435     -279.58 
1u1b_444     -199.14 
1u1b_468     -215.44 
1u1b_491     -130.39 
1u1b_494     -312.20 
1u1b_496     -57.73  
1u1b_50      -32.39  
1u1b_507     -23.04  
1u1b_55      23.82   
1u1b_553     -106.28 
1u1b_558     -97.06  
1u1b_569     -46.38  
1u1b_571     -33.71  
1u1b_578     -52.91  
1u1b_588     -221.96 
1u1b_644     -62.82  
1u1b_658     -128.63 
1u1b_678     -75.97  
1u1b_694     -78.95  
1u1b_765     48.74   
1u1b_768     21.98   
1u1b_769     7.68    
1u1b_79      16.62   
1u1b_8       24.23   
1u1b_826     51.56   
1u1b_834     44.69   
1u1b_86      9.78    
1u1b_919     51.74   
1u1b_929     34.93   
1u1b_933     28.41   
1u1b_95      9.89    
1u1b_97      -4.47   
1u1b_ligand  58.40   
