#code        score   
1w4o_101     31.10   
1w4o_119     37.78   
1w4o_170     32.46   
1w4o_178     27.47   
1w4o_194     26.14   
1w4o_200     30.23   
1w4o_246     18.94   
1w4o_273     26.67   
1w4o_274     26.97   
1w4o_3       18.80   
1w4o_307     41.66   
1w4o_313     32.22   
1w4o_330     39.44   
1w4o_338     37.15   
1w4o_339     41.33   
1w4o_353     35.40   
1w4o_367     42.08   
1w4o_371     26.97   
1w4o_376     39.96   
1w4o_391     35.17   
1w4o_401     -10.82  
1w4o_405     -92.52  
1w4o_410     -46.61  
1w4o_413     -49.26  
1w4o_415     -7.54   
1w4o_424     -42.00  
1w4o_426     -12.37  
1w4o_435     -18.99  
1w4o_438     -68.38  
1w4o_450     -41.11  
1w4o_456     -85.56  
1w4o_480     -79.84  
1w4o_498     -40.11  
1w4o_509     16.37   
1w4o_521     -29.02  
1w4o_532     -23.66  
1w4o_541     -7.58   
1w4o_542     -24.69  
1w4o_549     -7.04   
1w4o_550     -5.92   
1w4o_572     -20.43  
1w4o_573     -17.38  
1w4o_585     -8.06   
1w4o_596     -28.09  
1w4o_597     -29.72  
1w4o_602     -23.22  
1w4o_606     -72.06  
1w4o_642     -34.79  
1w4o_655     -62.85  
1w4o_658     -58.06  
1w4o_666     -38.29  
1w4o_675     -16.95  
1w4o_679     -20.31  
1w4o_692     -65.00  
1w4o_704     27.04   
1w4o_741     20.93   
1w4o_746     24.96   
1w4o_747     16.81   
1w4o_748     30.03   
1w4o_749     21.09   
1w4o_751     16.21   
1w4o_752     12.53   
1w4o_754     20.09   
1w4o_757     30.16   
1w4o_761     28.72   
1w4o_762     20.95   
1w4o_788     25.29   
1w4o_804     19.76   
1w4o_827     20.59   
1w4o_829     9.65    
1w4o_833     31.89   
1w4o_841     26.51   
1w4o_844     19.02   
1w4o_846     5.23    
1w4o_851     15.02   
1w4o_854     18.38   
1w4o_856     21.63   
1w4o_859     24.44   
1w4o_870     35.69   
1w4o_917     38.13   
1w4o_928     42.51   
1w4o_940     30.01   
1w4o_960     26.66   
1w4o_ligand  35.51   
