#code        score   
1ydr_100     31.82   
1ydr_11      24.41   
1ydr_13      35.83   
1ydr_132     32.48   
1ydr_136     34.21   
1ydr_164     41.17   
1ydr_18      32.60   
1ydr_204     21.63   
1ydr_214     31.19   
1ydr_240     26.45   
1ydr_26      38.90   
1ydr_268     32.15   
1ydr_291     30.60   
1ydr_315     38.45   
1ydr_332     37.62   
1ydr_348     40.31   
1ydr_368     32.15   
1ydr_369     39.49   
1ydr_4       38.60   
1ydr_418     -19.30  
1ydr_423     -2.96   
1ydr_430     2.80    
1ydr_452     25.73   
1ydr_46      11.87   
1ydr_464     21.49   
1ydr_466     8.49    
1ydr_470     16.59   
1ydr_482     0.90    
1ydr_485     -14.39  
1ydr_487     4.29    
1ydr_490     1.93    
1ydr_495     7.72    
1ydr_517     15.99   
1ydr_518     -34.31  
1ydr_524     6.90    
1ydr_537     15.96   
1ydr_541     10.18   
1ydr_546     9.51    
1ydr_554     14.94   
1ydr_557     -4.27   
1ydr_558     7.95    
1ydr_566     12.71   
1ydr_570     17.53   
1ydr_582     -16.52  
1ydr_586     1.33    
1ydr_587     14.12   
1ydr_593     -78.72  
1ydr_595     -9.01   
1ydr_599     -26.40  
1ydr_609     -49.23  
1ydr_613     -39.94  
1ydr_614     11.57   
1ydr_615     1.42    
1ydr_616     -8.24   
1ydr_622     -42.31  
1ydr_626     5.71    
1ydr_629     -11.95  
1ydr_63      31.31   
1ydr_636     -4.23   
1ydr_641     10.71   
1ydr_646     -0.11   
1ydr_648     -32.63  
1ydr_649     13.45   
1ydr_651     5.96    
1ydr_659     -61.16  
1ydr_689     -2.94   
1ydr_69      29.39   
1ydr_693     10.73   
1ydr_697     4.79    
1ydr_701     42.87   
1ydr_715     0.55    
1ydr_723     14.92   
1ydr_726     32.51   
1ydr_739     18.13   
1ydr_741     17.05   
1ydr_746     12.99   
1ydr_754     30.38   
1ydr_759     20.85   
1ydr_761     13.37   
1ydr_771     18.32   
1ydr_775     19.07   
1ydr_779     -17.91  
1ydr_78      33.11   
1ydr_784     9.03    
1ydr_785     -6.68   
1ydr_786     -11.27  
1ydr_789     -2.69   
1ydr_791     11.54   
1ydr_80      39.26   
1ydr_801     43.82   
1ydr_804     40.17   
1ydr_824     33.36   
1ydr_848     16.58   
1ydr_856     10.06   
1ydr_858     12.37   
1ydr_894     20.33   
1ydr_902     43.39   
1ydr_934     29.80   
1ydr_95      34.59   
1ydr_984     32.75   
1ydr_ligand  45.96   
