#code        score   
3arq_117     67.85   
3arq_197     76.19   
3arq_206     -10.46  
3arq_209     8.49    
3arq_221     56.68   
3arq_227     48.84   
3arq_228     52.22   
3arq_231     63.02   
3arq_236     60.11   
3arq_242     37.59   
3arq_245     47.03   
3arq_256     32.23   
3arq_258     44.01   
3arq_265     47.87   
3arq_287     58.09   
3arq_293     66.16   
3arq_314     77.73   
3arq_328     80.38   
3arq_338     75.08   
3arq_339     79.98   
3arq_346     81.91   
3arq_358     81.89   
3arq_392     83.62   
3arq_404     -15.97  
3arq_406     -56.71  
3arq_422     -83.27  
3arq_426     -61.69  
3arq_430     -7.16   
3arq_432     16.55   
3arq_443     -157.01 
3arq_444     -57.19  
3arq_445     -128.90 
3arq_449     -34.63  
3arq_451     -61.63  
3arq_464     -62.37  
3arq_466     -39.42  
3arq_474     -163.15 
3arq_478     -65.25  
3arq_483     -63.82  
3arq_485     -69.99  
3arq_508     -34.12  
3arq_511     51.65   
3arq_513     -26.34  
3arq_515     12.32   
3arq_529     58.07   
3arq_534     -9.94   
3arq_535     -19.89  
3arq_543     -92.43  
3arq_545     -3.90   
3arq_550     4.52    
3arq_556     -41.73  
3arq_565     21.57   
3arq_566     -32.91  
3arq_571     -28.94  
3arq_575     -17.97  
3arq_577     23.87   
3arq_581     -22.86  
3arq_584     -55.80  
3arq_587     -172.10 
3arq_596     -66.77  
3arq_601     -51.23  
3arq_606     14.94   
3arq_607     -39.75  
3arq_611     -65.47  
3arq_620     12.59   
3arq_625     -122.61 
3arq_626     -40.61  
3arq_639     -78.86  
3arq_643     -143.62 
3arq_645     -31.39  
3arq_647     36.93   
3arq_648     20.54   
3arq_651     10.48   
3arq_654     -129.19 
3arq_655     -83.18  
3arq_673     -106.79 
3arq_680     -148.08 
3arq_698     -4.21   
3arq_721     38.11   
3arq_742     48.70   
3arq_743     41.17   
3arq_748     32.79   
3arq_755     52.91   
3arq_758     34.83   
3arq_760     47.46   
3arq_762     39.56   
3arq_848     30.61   
3arq_855     67.36   
3arq_868     27.03   
3arq_941     28.54   
3arq_964     59.00   
3arq_ligand  73.88   
