#code        score   
3gbb_213     62.27   
3gbb_278     66.59   
3gbb_304     88.14   
3gbb_317     83.45   
3gbb_405     30.35   
3gbb_407     30.75   
3gbb_418     0.43    
3gbb_421     2.22    
3gbb_427     40.86   
3gbb_445     5.81    
3gbb_449     17.70   
3gbb_458     -42.38  
3gbb_460     -14.81  
3gbb_468     -1.02   
3gbb_473     -22.64  
3gbb_482     -71.13  
3gbb_483     -66.78  
3gbb_489     -42.62  
3gbb_498     3.23    
3gbb_503     -15.96  
3gbb_509     -5.60   
3gbb_510     2.17    
3gbb_512     -20.19  
3gbb_523     17.92   
3gbb_559     -9.53   
3gbb_564     4.45    
3gbb_596     -29.10  
3gbb_616     -3.17   
3gbb_619     -41.82  
3gbb_621     9.48    
3gbb_625     0.29    
3gbb_627     -12.80  
3gbb_646     -82.44  
3gbb_648     -12.93  
3gbb_650     -56.26  
3gbb_655     -14.83  
3gbb_666     -82.04  
3gbb_673     -130.56 
3gbb_678     -69.94  
3gbb_683     -105.14 
3gbb_693     -45.91  
3gbb_697     1.51    
3gbb_715     30.00   
3gbb_717     6.98    
3gbb_728     9.46    
3gbb_781     6.15    
3gbb_783     -29.68  
3gbb_796     -40.79  
3gbb_814     69.54   
3gbb_845     0.61    
3gbb_893     10.31   
3gbb_ligand  78.32   
