#code        score   
3l7b_163     60.57   
3l7b_203     9.29    
3l7b_207     42.11   
3l7b_217     2.24    
3l7b_22      44.86   
3l7b_256     36.53   
3l7b_30      53.34   
3l7b_38      47.68   
3l7b_402     -1.60   
3l7b_416     8.83    
3l7b_426     22.75   
3l7b_439     1.03    
3l7b_446     -13.11  
3l7b_447     16.26   
3l7b_450     -38.89  
3l7b_458     -15.56  
3l7b_462     -40.35  
3l7b_463     -31.07  
3l7b_468     4.73    
3l7b_47      48.93   
3l7b_485     4.95    
3l7b_491     -18.44  
3l7b_500     -32.71  
3l7b_509     -15.13  
3l7b_521     4.69    
3l7b_523     21.80   
3l7b_526     -18.14  
3l7b_527     -37.69  
3l7b_531     -0.56   
3l7b_542     -43.77  
3l7b_545     -13.07  
3l7b_550     -27.39  
3l7b_554     -75.62  
3l7b_557     -38.85  
3l7b_560     -44.17  
3l7b_561     -54.32  
3l7b_566     -7.98   
3l7b_568     5.73    
3l7b_576     7.46    
3l7b_578     -11.79  
3l7b_579     -45.40  
3l7b_582     2.32    
3l7b_584     -76.48  
3l7b_586     25.12   
3l7b_588     4.53    
3l7b_592     -38.75  
3l7b_604     -39.51  
3l7b_612     7.83    
3l7b_616     -39.82  
3l7b_621     -3.27   
3l7b_627     -67.83  
3l7b_628     -19.78  
3l7b_631     -47.82  
3l7b_633     21.37   
3l7b_638     -3.42   
3l7b_643     -46.60  
3l7b_656     -45.90  
3l7b_657     -31.57  
3l7b_658     -9.41   
3l7b_659     -15.11  
3l7b_66      45.92   
3l7b_660     -33.44  
3l7b_665     8.05    
3l7b_683     -24.85  
3l7b_685     -24.47  
3l7b_686     -46.65  
3l7b_687     -11.01  
3l7b_690     -25.36  
3l7b_694     -31.14  
3l7b_696     5.73    
3l7b_719     21.71   
3l7b_72      38.22   
3l7b_730     16.79   
3l7b_750     -6.73   
3l7b_844     45.56   
3l7b_9       53.81   
3l7b_93      48.55   
3l7b_ligand  56.20   
