#code        score   
4cra_102     53.21   
4cra_113     59.23   
4cra_119     66.30   
4cra_124     45.84   
4cra_126     58.81   
4cra_130     69.78   
4cra_151     61.73   
4cra_155     77.44   
4cra_175     76.17   
4cra_201     48.98   
4cra_204     59.33   
4cra_214     39.50   
4cra_219     15.60   
4cra_224     69.94   
4cra_230     66.65   
4cra_24      57.71   
4cra_240     38.38   
4cra_250     27.69   
4cra_258     46.97   
4cra_270     69.74   
4cra_276     52.86   
4cra_281     58.11   
4cra_283     65.39   
4cra_292     72.45   
4cra_296     43.48   
4cra_302     69.10   
4cra_307     65.24   
4cra_318     75.54   
4cra_354     76.03   
4cra_358     69.73   
4cra_364     75.36   
4cra_375     68.77   
4cra_378     63.48   
4cra_383     64.41   
4cra_4       80.83   
4cra_413     -125.72 
4cra_422     -11.09  
4cra_439     -111.21 
4cra_441     5.20    
4cra_444     -32.80  
4cra_448     -163.14 
4cra_456     -73.48  
4cra_470     -32.61  
4cra_472     12.83   
4cra_477     -21.82  
4cra_479     -39.66  
4cra_496     -14.61  
4cra_504     -22.70  
4cra_523     26.94   
4cra_525     16.26   
4cra_533     -21.75  
4cra_538     5.96    
4cra_540     -1.04   
4cra_541     -38.66  
4cra_547     -13.52  
4cra_548     21.85   
4cra_549     6.56    
4cra_564     46.85   
4cra_566     -2.43   
4cra_569     5.00    
4cra_572     10.93   
4cra_576     -81.72  
4cra_578     26.24   
4cra_579     -17.65  
4cra_580     -13.70  
4cra_584     12.92   
4cra_589     -11.56  
4cra_590     -80.72  
4cra_591     36.18   
4cra_595     -4.39   
4cra_596     -2.61   
4cra_604     -9.88   
4cra_61      56.32   
4cra_610     19.65   
4cra_624     -17.08  
4cra_636     -16.44  
4cra_644     28.69   
4cra_656     -40.22  
4cra_658     0.04    
4cra_680     -92.13  
4cra_689     -14.98  
4cra_695     -17.86  
4cra_716     41.99   
4cra_719     66.09   
4cra_720     51.13   
4cra_748     41.99   
4cra_795     28.37   
4cra_81      40.01   
4cra_827     21.88   
4cra_828     11.84   
4cra_830     68.10   
4cra_855     39.89   
4cra_861     22.96   
4cra_893     -9.38   
4cra_905     42.62   
4cra_918     29.22   
4cra_941     -4.98   
4cra_953     -17.79  
4cra_967     -2.23   
4cra_972     31.03   
4cra_ligand  82.74   
