#code        score   
1q8u_140     21.38   
1q8u_202     4.77    
1q8u_203     2.54    
1q8u_214     20.38   
1q8u_227     8.78    
1q8u_23      15.88   
1q8u_237     7.78    
1q8u_238     7.96    
1q8u_24      11.63   
1q8u_246     -0.94   
1q8u_264     9.99    
1q8u_268     19.06   
1q8u_270     7.32    
1q8u_277     12.37   
1q8u_34      16.59   
1q8u_342     20.28   
1q8u_410     -8.51   
1q8u_454     9.58    
1q8u_497     2.95    
1q8u_501     18.30   
1q8u_504     11.15   
1q8u_509     9.36    
1q8u_512     11.76   
1q8u_514     19.52   
1q8u_53      18.44   
1q8u_547     6.36    
1q8u_553     13.90   
1q8u_555     0.76    
1q8u_571     12.58   
1q8u_581     7.30    
1q8u_582     -3.55   
1q8u_59      16.29   
1q8u_592     7.84    
1q8u_593     10.70   
1q8u_595     12.97   
1q8u_599     4.30    
1q8u_605     -0.86   
1q8u_611     -2.30   
1q8u_617     5.99    
1q8u_623     3.01    
1q8u_646     10.08   
1q8u_652     -1.99   
1q8u_653     12.85   
1q8u_660     -5.74   
1q8u_664     -2.02   
1q8u_668     -6.28   
1q8u_669     6.64    
1q8u_672     8.03    
1q8u_678     -5.76   
1q8u_688     7.44    
1q8u_693     2.03    
1q8u_701     25.40   
1q8u_702     24.94   
1q8u_704     8.65    
1q8u_726     11.20   
1q8u_728     16.85   
1q8u_732     7.03    
1q8u_734     13.93   
1q8u_735     6.05    
1q8u_739     4.80    
1q8u_741     11.70   
1q8u_747     8.97    
1q8u_748     4.86    
1q8u_757     14.12   
1q8u_76      9.95    
1q8u_777     1.98    
1q8u_782     -3.41   
1q8u_790     6.92    
1q8u_796     28.94   
1q8u_8       14.12   
1q8u_822     9.91    
1q8u_866     11.15   
1q8u_875     12.49   
1q8u_886     6.15    
1q8u_891     12.81   
1q8u_901     30.99   
1q8u_902     30.27   
1q8u_904     25.02   
1q8u_909     27.74   
1q8u_91      15.76   
1q8u_913     27.89   
1q8u_923     7.77    
1q8u_975     9.76    
1q8u_ligand  26.08   
