#code        score   
2fvd_10      3.70    
2fvd_102     20.62   
2fvd_105     20.44   
2fvd_107     17.20   
2fvd_116     21.97   
2fvd_118     17.98   
2fvd_121     22.94   
2fvd_122     20.99   
2fvd_126     16.94   
2fvd_136     19.81   
2fvd_169     14.77   
2fvd_175     -983.47 
2fvd_188     16.69   
2fvd_200     17.08   
2fvd_204     1.95    
2fvd_210     15.65   
2fvd_211     13.85   
2fvd_219     0.93    
2fvd_220     4.47    
2fvd_223     19.73   
2fvd_225     17.90   
2fvd_235     8.76    
2fvd_238     -14.22  
2fvd_24      5.27    
2fvd_243     1.59    
2fvd_266     -2.43   
2fvd_270     6.41    
2fvd_275     19.69   
2fvd_282     -0.40   
2fvd_286     4.64    
2fvd_288     13.13   
2fvd_292     9.64    
2fvd_309     12.73   
2fvd_312     9.67    
2fvd_34      12.37   
2fvd_345     10.79   
2fvd_348     5.77    
2fvd_369     15.23   
2fvd_382     14.30   
2fvd_388     10.78   
2fvd_39      8.26    
2fvd_397     9.84    
2fvd_40      7.53    
2fvd_408     -32.12  
2fvd_410     -19.35  
2fvd_42      -0.70   
2fvd_421     1.35    
2fvd_428     -22.53  
2fvd_434     3.27    
2fvd_435     2.73    
2fvd_443     -8.44   
2fvd_467     -19.08  
2fvd_468     -21.84  
2fvd_469     -13.94  
2fvd_475     -21.77  
2fvd_478     -7.69   
2fvd_48      7.94    
2fvd_484     -13.64  
2fvd_490     -5.38   
2fvd_495     -3.02   
2fvd_50      -9.60   
2fvd_505     -0.31   
2fvd_553     -11.83  
2fvd_555     -1.81   
2fvd_585     -19.14  
2fvd_592     -8.20   
2fvd_599     -5.54   
2fvd_6       -2.47   
2fvd_602     -10.28  
2fvd_603     -6.28   
2fvd_606     -18.34  
2fvd_610     -11.43  
2fvd_62      0.59    
2fvd_637     -16.88  
2fvd_638     -11.13  
2fvd_639     1.84    
2fvd_640     -1.93   
2fvd_642     -7.26   
2fvd_645     -20.27  
2fvd_649     -9.66   
2fvd_65      19.64   
2fvd_673     -28.45  
2fvd_679     0.53    
2fvd_680     -20.88  
2fvd_695     -7.23   
2fvd_698     -21.09  
2fvd_71      -4.45   
2fvd_72      -2.03   
2fvd_747     16.60   
2fvd_751     6.40    
2fvd_76      12.59   
2fvd_778     7.63    
2fvd_780     11.26   
2fvd_783     6.50    
2fvd_809     18.70   
2fvd_86      9.53    
2fvd_872     -1.26   
2fvd_880     1.09    
2fvd_881     -6.09   
2fvd_889     16.04   
2fvd_ligand  20.27   
