#code        score   
3gnw_134     22.63   
3gnw_136     25.43   
3gnw_155     22.49   
3gnw_179     22.52   
3gnw_201     -2.34   
3gnw_205     7.76    
3gnw_216     13.49   
3gnw_218     4.87    
3gnw_219     -0.93   
3gnw_220     12.18   
3gnw_225     12.43   
3gnw_226     -1.22   
3gnw_236     6.47    
3gnw_241     9.51    
3gnw_254     28.06   
3gnw_259     4.11    
3gnw_261     13.04   
3gnw_266     -986.24 
3gnw_271     3.92    
3gnw_273     1.14    
3gnw_276     12.80   
3gnw_277     10.85   
3gnw_278     12.55   
3gnw_279     1.25    
3gnw_284     0.91    
3gnw_294     18.82   
3gnw_299     7.76    
3gnw_302     20.54   
3gnw_310     15.95   
3gnw_315     20.51   
3gnw_316     18.54   
3gnw_322     11.51   
3gnw_323     21.90   
3gnw_325     10.46   
3gnw_335     13.56   
3gnw_337     19.93   
3gnw_343     13.36   
3gnw_381     14.56   
3gnw_387     10.47   
3gnw_402     -5.63   
3gnw_41      22.80   
3gnw_411     -37.00  
3gnw_417     -32.74  
3gnw_423     -18.92  
3gnw_440     -7.30   
3gnw_448     -29.20  
3gnw_463     -10.02  
3gnw_49      22.42   
3gnw_493     -49.72  
3gnw_498     -25.97  
3gnw_516     -49.22  
3gnw_527     -38.14  
3gnw_535     -31.66  
3gnw_545     -21.20  
3gnw_549     -10.08  
3gnw_552     -3.99   
3gnw_555     -29.47  
3gnw_569     -13.74  
3gnw_580     -41.13  
3gnw_581     -19.13  
3gnw_586     -47.31  
3gnw_587     -21.42  
3gnw_597     -19.38  
3gnw_634     -26.30  
3gnw_636     -9.05   
3gnw_639     -18.09  
3gnw_649     -16.52  
3gnw_659     -41.88  
3gnw_662     -0.46   
3gnw_667     -30.92  
3gnw_668     -19.91  
3gnw_694     -20.86  
3gnw_700     -29.81  
3gnw_708     28.66   
3gnw_712     30.37   
3gnw_714     24.07   
3gnw_718     23.93   
3gnw_722     21.60   
3gnw_729     17.95   
3gnw_745     18.02   
3gnw_779     6.89    
3gnw_802     29.55   
3gnw_842     21.48   
3gnw_847     26.71   
3gnw_848     22.62   
3gnw_857     24.72   
3gnw_867     25.49   
3gnw_868     16.37   
3gnw_87      25.50   
3gnw_873     11.33   
3gnw_876     10.31   
3gnw_877     25.79   
3gnw_939     23.53   
3gnw_94      20.87   
3gnw_95      16.61   
3gnw_950     28.91   
3gnw_959     24.99   
3gnw_961     27.01   
3gnw_965     28.62   
3gnw_982     27.78   
3gnw_ligand  33.73   
