#code        score   
4agn_109     21.47   
4agn_125     23.41   
4agn_204     19.07   
4agn_205     22.65   
4agn_226     8.61    
4agn_228     15.64   
4agn_251     18.37   
4agn_257     18.64   
4agn_266     13.12   
4agn_267     20.84   
4agn_272     21.74   
4agn_280     14.48   
4agn_290     17.72   
4agn_299     24.31   
4agn_318     17.64   
4agn_380     18.44   
4agn_4       15.21   
4agn_402     -17.44  
4agn_405     -7.42   
4agn_411     -13.92  
4agn_415     -25.44  
4agn_425     -10.53  
4agn_43      18.01   
4agn_446     -14.61  
4agn_447     -11.96  
4agn_456     -10.47  
4agn_463     -12.64  
4agn_477     -21.34  
4agn_494     -7.34   
4agn_498     -12.43  
4agn_502     3.92    
4agn_505     5.00    
4agn_506     11.52   
4agn_511     -5.05   
4agn_516     -4.12   
4agn_517     6.77    
4agn_519     5.57    
4agn_524     -8.98   
4agn_526     5.64    
4agn_535     -6.23   
4agn_536     2.85    
4agn_538     10.25   
4agn_539     -2.86   
4agn_540     -8.92   
4agn_542     -1.88   
4agn_554     0.59    
4agn_555     9.07    
4agn_557     2.51    
4agn_561     -1.16   
4agn_566     0.08    
4agn_567     -14.31  
4agn_568     -12.39  
4agn_579     -12.36  
4agn_582     -1.99   
4agn_591     -6.81   
4agn_593     6.79    
4agn_595     -5.01   
4agn_596     -1999.70
4agn_597     0.60    
4agn_603     4.32    
4agn_608     -3.19   
4agn_629     11.39   
4agn_633     4.95    
4agn_643     10.29   
4agn_644     2.92    
4agn_657     -12.01  
4agn_659     3.62    
4agn_660     8.52    
4agn_664     3.05    
4agn_665     -8.43   
4agn_669     -3.46   
4agn_670     4.04    
4agn_677     13.06   
4agn_678     -0.36   
4agn_681     -4.59   
4agn_682     0.26    
4agn_687     0.20    
4agn_690     -0.12   
4agn_691     -0.31   
4agn_712     14.43   
4agn_715     17.11   
4agn_727     15.63   
4agn_754     10.10   
4agn_76      13.07   
4agn_765     4.88    
4agn_768     7.50    
4agn_772     15.54   
4agn_78      18.18   
4agn_785     10.28   
4agn_833     10.82   
4agn_844     18.73   
4agn_855     15.86   
4agn_931     24.01   
4agn_979     18.39   
4agn_984     19.08   
4agn_987     19.64   
4agn_ligand  15.17   
