#code        score   
4ddh_1       13.02   
4ddh_13      16.62   
4ddh_130     20.99   
4ddh_181     23.63   
4ddh_27      17.35   
4ddh_270     9.13    
4ddh_294     13.89   
4ddh_296     13.00   
4ddh_343     13.78   
4ddh_349     15.94   
4ddh_401     7.16    
4ddh_416     14.95   
4ddh_421     6.61    
4ddh_422     9.77    
4ddh_427     6.60    
4ddh_432     6.28    
4ddh_439     11.58   
4ddh_448     7.99    
4ddh_455     9.15    
4ddh_459     4.72    
4ddh_462     -0.89   
4ddh_465     11.89   
4ddh_466     10.18   
4ddh_471     5.71    
4ddh_489     -4.20   
4ddh_490     4.95    
4ddh_500     8.63    
4ddh_507     7.51    
4ddh_514     7.55    
4ddh_519     8.91    
4ddh_530     10.59   
4ddh_542     12.03   
4ddh_543     5.96    
4ddh_545     4.43    
4ddh_547     13.09   
4ddh_548     7.40    
4ddh_555     10.10   
4ddh_559     8.11    
4ddh_564     6.94    
4ddh_574     9.13    
4ddh_589     2.29    
4ddh_591     6.44    
4ddh_592     5.85    
4ddh_593     9.07    
4ddh_620     9.28    
4ddh_632     9.88    
4ddh_641     5.02    
4ddh_649     2.96    
4ddh_651     10.02   
4ddh_659     5.28    
4ddh_671     7.84    
4ddh_684     1.79    
4ddh_688     9.16    
4ddh_734     14.30   
4ddh_754     13.43   
4ddh_762     3.77    
4ddh_763     3.43    
4ddh_764     4.34    
4ddh_770     15.50   
4ddh_771     13.29   
4ddh_773     11.67   
4ddh_774     1.28    
4ddh_781     2.39    
4ddh_782     4.87    
4ddh_783     7.20    
4ddh_784     3.49    
4ddh_79      13.82   
4ddh_794     -6.59   
4ddh_795     -8.70   
4ddh_796     3.21    
4ddh_80      14.38   
4ddh_843     16.83   
4ddh_868     3.70    
4ddh_882     11.91   
4ddh_885     10.23   
4ddh_911     13.96   
4ddh_971     17.70   
4ddh_ligand  17.02   
