#code        score   
4de1_105     18.36   
4de1_110     20.90   
4de1_127     18.06   
4de1_14      10.19   
4de1_142     16.74   
4de1_150     9.78    
4de1_176     9.01    
4de1_190     19.73   
4de1_191     14.68   
4de1_195     18.80   
4de1_196     11.51   
4de1_199     18.83   
4de1_203     10.59   
4de1_215     15.61   
4de1_237     8.37    
4de1_25      9.82    
4de1_275     3.50    
4de1_277     11.50   
4de1_289     11.57   
4de1_292     14.87   
4de1_309     15.86   
4de1_317     13.91   
4de1_340     15.67   
4de1_366     19.62   
4de1_370     13.20   
4de1_405     -3.25   
4de1_407     -2.61   
4de1_408     5.32    
4de1_412     -8.93   
4de1_424     13.47   
4de1_425     0.55    
4de1_426     5.54    
4de1_431     -12.17  
4de1_432     5.35    
4de1_433     1.74    
4de1_436     -15.29  
4de1_438     6.53    
4de1_440     -7.89   
4de1_458     -13.00  
4de1_460     -24.90  
4de1_466     -5.91   
4de1_474     -8.24   
4de1_482     -9.53   
4de1_484     12.09   
4de1_487     -1.52   
4de1_491     6.24    
4de1_509     -5.60   
4de1_514     8.80    
4de1_519     5.57    
4de1_521     5.68    
4de1_531     -13.01  
4de1_538     -0.54   
4de1_541     5.52    
4de1_545     0.53    
4de1_550     10.34   
4de1_552     -3.78   
4de1_553     3.90    
4de1_558     4.13    
4de1_564     -3.65   
4de1_567     1.91    
4de1_575     -6.90   
4de1_579     -1.82   
4de1_581     11.24   
4de1_582     -21.65  
4de1_586     3.43    
4de1_590     3.87    
4de1_593     -6.76   
4de1_596     6.99    
4de1_598     -0.52   
4de1_620     -2.51   
4de1_633     6.20    
4de1_636     5.10    
4de1_659     1.73    
4de1_661     1.12    
4de1_664     -2.91   
4de1_667     4.81    
4de1_674     4.79    
4de1_675     9.65    
4de1_676     -0.35   
4de1_682     -20.93  
4de1_697     -16.01  
4de1_699     8.64    
4de1_711     5.67    
4de1_715     9.90    
4de1_728     9.24    
4de1_733     11.15   
4de1_738     7.28    
4de1_742     9.74    
4de1_744     8.00    
4de1_745     9.30    
4de1_748     8.50    
4de1_749     11.46   
4de1_750     10.92   
4de1_753     10.88   
4de1_755     9.51    
4de1_759     9.64    
4de1_761     9.98    
4de1_811     4.22    
4de1_84      13.31   
4de1_88      17.06   
4de1_ligand  21.22   
