#code        score   
4j28_110     23.49   
4j28_123     26.34   
4j28_154     25.78   
4j28_173     24.46   
4j28_183     24.69   
4j28_196     24.29   
4j28_208     13.55   
4j28_215     5.32    
4j28_227     7.14    
4j28_265     9.18    
4j28_300     11.51   
4j28_303     19.46   
4j28_313     23.29   
4j28_406     8.64    
4j28_410     1.42    
4j28_42      22.34   
4j28_425     12.11   
4j28_429     5.38    
4j28_437     8.11    
4j28_439     5.92    
4j28_451     9.78    
4j28_457     -1.54   
4j28_458     3.46    
4j28_494     2.54    
4j28_534     4.28    
4j28_536     6.94    
4j28_543     -3.73   
4j28_555     5.52    
4j28_562     1.92    
4j28_566     1.12    
4j28_574     6.52    
4j28_579     5.52    
4j28_580     -2.67   
4j28_583     6.12    
4j28_587     16.08   
4j28_593     -1.66   
4j28_600     5.29    
4j28_646     -0.08   
4j28_657     7.66    
4j28_661     7.46    
4j28_691     -12.25  
4j28_692     11.25   
4j28_732     14.62   
4j28_737     11.10   
4j28_743     1.91    
4j28_744     12.67   
4j28_753     12.71   
4j28_758     14.60   
4j28_772     7.62    
4j28_775     13.01   
4j28_785     12.97   
4j28_790     5.77    
4j28_792     -6.61   
4j28_794     23.12   
4j28_828     8.26    
4j28_829     7.21    
4j28_846     13.14   
4j28_852     16.42   
4j28_858     15.40   
4j28_863     6.21    
4j28_864     9.77    
4j28_866     16.10   
4j28_867     14.35   
4j28_877     -3.20   
4j28_899     20.84   
4j28_912     21.57   
4j28_944     13.62   
4j28_961     16.85   
4j28_981     10.68   
4j28_988     -0.57   
4j28_ligand  20.64   
