#code        score   
1p1q_121     -30.9614
1p1q_134     -24.0016
1p1q_169     -31.8468
1p1q_202     -28.3266
1p1q_239     -27.4408
1p1q_255     -29.4577
1p1q_317     -33.7237
1p1q_357     -30.8248
1p1q_358     -21.6728
1p1q_394     -27.4559
1p1q_411     -21.5955
1p1q_412     -18.9350
1p1q_544     -12.4730
1p1q_559     -15.6254
1p1q_560     -19.9428
1p1q_570     -17.6785
1p1q_574     -18.0825
1p1q_578     -14.1254
1p1q_596     -15.9524
1p1q_603     -16.9036
1p1q_604     -17.1322
1p1q_614     -18.1849
1p1q_636     -18.0151
1p1q_640     -11.7747
1p1q_644     -11.5617
1p1q_646     -15.5517
1p1q_664     -15.0308
1p1q_677     -24.0442
1p1q_698     -13.2038
1p1q_713     -25.3091
1p1q_729     -23.7777
1p1q_736     -27.3276
1p1q_740     -19.8847
1p1q_746     -19.5512
1p1q_751     -14.7149
1p1q_759     -18.6941
1p1q_773     -23.2084
1p1q_779     -14.4544
1p1q_785     -16.6641
1p1q_789     -16.6380
1p1q_794     -14.8903
1p1q_848     -23.5510
1p1q_85      -28.4913
1p1q_853     -28.7515
1p1q_860     -22.9385
1p1q_872     -20.4264
1p1q_890     -19.1479
1p1q_892     -27.4105
1p1q_897     -15.1863
1p1q_975     -24.3369
1p1q_ligand  -30.8355
