#code        score   
2p15_133     -60.6935
2p15_155     -49.5586
2p15_216     -56.3458
2p15_262     -57.4520
2p15_290     -55.5512
2p15_331     -57.0298
2p15_344     -60.2885
2p15_402     -47.8868
2p15_404     -52.9196
2p15_407     -47.6306
2p15_414     -46.1474
2p15_415     -50.0946
2p15_425     -48.0228
2p15_427     -47.5612
2p15_435     -49.2330
2p15_437     -55.9201
2p15_446     -47.2887
2p15_453     -44.9793
2p15_456     -48.0601
2p15_460     -53.7817
2p15_466     -46.8758
2p15_471     -49.4673
2p15_478     -46.1737
2p15_479     -47.6264
2p15_480     -46.5841
2p15_481     -49.4937
2p15_489     -52.3253
2p15_493     -46.9874
2p15_496     -45.6541
2p15_546     -51.6131
2p15_550     -46.8453
2p15_557     -51.2810
2p15_567     -49.7750
2p15_568     -50.9019
2p15_569     -45.7640
2p15_578     -45.7031
2p15_579     -57.7619
2p15_582     -50.9439
2p15_589     -49.1152
2p15_590     -51.8637
2p15_591     -46.9302
2p15_592     -54.5345
2p15_598     -48.8700
2p15_600     -49.0782
2p15_645     -50.1031
2p15_678     -51.5162
2p15_687     -51.9659
2p15_699     -47.9468
2p15_700     -47.6747
2p15_765     -49.1013
2p15_801     -57.4480
2p15_850     -57.2716
2p15_87      -55.9914
2p15_ligand  -53.7972
