#code        score   
2r9w_124     -25.1917
2r9w_145     -22.2890
2r9w_202     -26.2462
2r9w_206     -21.0487
2r9w_246     -29.7017
2r9w_247     -19.6769
2r9w_307     -22.9208
2r9w_393     -19.3395
2r9w_411     -23.4925
2r9w_449     -21.8505
2r9w_460     -14.7875
2r9w_462     -18.8974
2r9w_478     -25.7354
2r9w_49      -21.3467
2r9w_505     -20.0338
2r9w_513     -14.3968
2r9w_517     -14.9664
2r9w_521     -14.7949
2r9w_522     -15.5444
2r9w_531     -13.1415
2r9w_533     -18.1159
2r9w_538     -17.3038
2r9w_541     -13.0268
2r9w_549     -16.9962
2r9w_558     -15.0023
2r9w_559     -15.2414
2r9w_566     -11.8551
2r9w_579     -16.0311
2r9w_580     -15.5968
2r9w_586     -14.5140
2r9w_592     -13.2574
2r9w_593     -19.2126
2r9w_618     -17.0107
2r9w_640     -13.8612
2r9w_651     -15.8421
2r9w_670     -14.2240
2r9w_671     -18.8441
2r9w_679     -22.2909
2r9w_691     -18.7279
2r9w_708     -28.9936
2r9w_710     -26.9286
2r9w_713     -29.1260
2r9w_717     -22.4687
2r9w_718     -24.8488
2r9w_725     -24.7178
2r9w_734     -25.1520
2r9w_740     -19.4314
2r9w_741     -24.5999
2r9w_744     -23.4647
2r9w_749     -24.6981
2r9w_750     -25.8302
2r9w_759     -19.7659
2r9w_766     -18.5844
2r9w_769     -23.9910
2r9w_772     -20.5774
2r9w_774     -23.7890
2r9w_778     -22.2526
2r9w_779     -18.5742
2r9w_787     -13.0398
2r9w_791     -25.3642
2r9w_794     -18.8727
2r9w_795     -19.8805
2r9w_817     -29.4694
2r9w_828     -29.1181
2r9w_831     -22.1823
2r9w_834     -23.3310
2r9w_839     -21.2736
2r9w_860     -25.0544
2r9w_868     -24.1330
2r9w_869     -21.0287
2r9w_872     -23.6769
2r9w_873     -18.8245
2r9w_881     -23.1750
2r9w_886     -23.3898
2r9w_910     -30.7575
2r9w_911     -30.8741
2r9w_927     -30.1318
2r9w_928     -29.7163
2r9w_949     -25.7499
2r9w_950     -26.5276
2r9w_ligand  -24.3366
