#code        score   
3n86_265     -38.0599
3n86_404     -21.4825
3n86_405     -27.7836
3n86_412     -22.1861
3n86_419     -18.0331
3n86_420     -18.0845
3n86_424     -23.6271
3n86_430     -24.1920
3n86_432     -20.6886
3n86_433     -22.5943
3n86_436     -20.4925
3n86_438     -21.6809
3n86_443     -29.3025
3n86_451     -25.3162
3n86_460     -19.1928
3n86_462     -19.9738
3n86_465     -19.5933
3n86_467     -27.8247
3n86_468     -23.8717
3n86_472     -18.0370
3n86_475     -17.2476
3n86_477     -24.9071
3n86_480     -17.6670
3n86_483     -18.4607
3n86_485     -26.1413
3n86_486     -21.6564
3n86_487     -18.5101
3n86_491     -18.7569
3n86_500     -17.7657
3n86_509     -27.7499
3n86_531     -23.3723
3n86_532     -21.6928
3n86_54      -38.2511
3n86_557     -26.8779
3n86_563     -16.0745
3n86_574     -23.2388
3n86_586     -23.8819
3n86_595     -22.6141
3n86_596     -24.7031
3n86_610     -20.4310
3n86_639     -18.0845
3n86_657     -20.9153
3n86_662     -21.5459
3n86_664     -22.6141
3n86_665     -26.4003
3n86_666     -25.7844
3n86_674     -19.2834
3n86_676     -20.4925
3n86_680     -19.5933
3n86_690     -21.4037
3n86_768     -39.8553
3n86_859     -38.4336
3n86_861     -42.4345
3n86_870     -38.4716
3n86_878     -41.1525
3n86_99      -38.0753
3n86_ligand  -40.2851
