#code        score   
4cig_106     -28.0287
4cig_114     -30.7544
4cig_122     -30.4038
4cig_129     -26.2781
4cig_13      -26.1911
4cig_131     -26.6110
4cig_167     -28.7801
4cig_169     -28.1013
4cig_18      -25.1255
4cig_203     -24.9342
4cig_219     -28.5461
4cig_22      -24.7185
4cig_241     -25.7115
4cig_253     -29.2123
4cig_265     -24.1636
4cig_267     -30.9682
4cig_285     -28.4797
4cig_290     -32.7982
4cig_298     -32.4976
4cig_329     -25.6847
4cig_342     -24.6396
4cig_351     -24.4908
4cig_369     -24.9011
4cig_372     -25.1817
4cig_386     -25.4953
4cig_44      -30.5783
4cig_454     -30.7298
4cig_480     -25.9477
4cig_510     -24.2931
4cig_524     -23.7273
4cig_540     -13.1180
4cig_545     -24.2381
4cig_553     -24.6365
4cig_56      -20.1566
4cig_570     -20.8206
4cig_575     -27.4260
4cig_589     -22.2923
4cig_600     -22.3087
4cig_601     -23.6334
4cig_639     -13.7958
4cig_641     -29.3221
4cig_645     -16.3461
4cig_656     -30.3340
4cig_669     -18.0338
4cig_702     -27.6215
4cig_707     -26.7806
4cig_710     -24.4553
4cig_716     -23.0672
4cig_719     -28.4472
4cig_738     -27.8123
4cig_739     -29.3706
4cig_750     -26.1839
4cig_759     -21.6112
4cig_762     -21.9768
4cig_763     -26.8131
4cig_766     -17.9529
4cig_769     -16.7550
4cig_770     -23.0328
4cig_774     -16.8935
4cig_780     -13.7059
4cig_784     -37.0527
4cig_786     -33.7182
4cig_787     -33.2371
4cig_788     -33.2283
4cig_809     -36.5211
4cig_83      -26.5998
4cig_848     -28.2708
4cig_851     -22.4365
4cig_852     -30.8699
4cig_860     -27.9106
4cig_929     -26.7152
4cig_947     -30.8438
4cig_950     -30.3307
4cig_956     -28.0974
4cig_957     -27.1081
4cig_98      -26.3520
4cig_ligand  -36.8283
