#code        score   
4qd6_103     -24.4396
4qd6_160     -34.4660
4qd6_167     -29.5594
4qd6_187     -26.9463
4qd6_207     -29.0362
4qd6_219     -25.1761
4qd6_230     -24.3726
4qd6_265     -37.3216
4qd6_268     -19.8945
4qd6_276     -25.8572
4qd6_290     -23.3000
4qd6_294     -28.2578
4qd6_298     -21.6902
4qd6_302     -25.2710
4qd6_312     -25.5471
4qd6_339     -32.5349
4qd6_346     -25.5318
4qd6_347     -27.1100
4qd6_387     -22.5784
4qd6_390     -28.6797
4qd6_397     -32.1095
4qd6_408     -39.2195
4qd6_414     -44.2278
4qd6_428     -40.4076
4qd6_429     -33.6197
4qd6_44      -30.0847
4qd6_448     -26.6858
4qd6_449     -39.6699
4qd6_460     -32.2034
4qd6_465     -24.7473
4qd6_471     -30.3730
4qd6_473     -25.3869
4qd6_475     -29.2062
4qd6_490     -21.7369
4qd6_501     -34.0657
4qd6_507     -24.1500
4qd6_511     -30.6468
4qd6_516     -32.4303
4qd6_518     -25.3438
4qd6_519     -23.2476
4qd6_520     -22.6829
4qd6_528     -30.9521
4qd6_529     -13.0012
4qd6_540     -13.7024
4qd6_547     -23.5744
4qd6_568     -24.3774
4qd6_573     -24.3523
4qd6_574     -15.8109
4qd6_578     -22.2374
4qd6_58      -33.9193
4qd6_588     -20.0590
4qd6_593     -22.9990
4qd6_6       -24.3875
4qd6_612     -21.7080
4qd6_614     -23.2415
4qd6_62      -23.7911
4qd6_621     -20.4829
4qd6_623     -29.9609
4qd6_639     -27.2294
4qd6_642     -22.7488
4qd6_653     -23.9774
4qd6_671     -29.1387
4qd6_673     -42.5186
4qd6_674     -25.1923
4qd6_675     -15.8838
4qd6_678     -22.1353
4qd6_681     -19.8561
4qd6_683     -21.2833
4qd6_687     -37.9572
4qd6_700     -24.7133
4qd6_707     -29.8752
4qd6_708     -27.0676
4qd6_709     -28.3865
4qd6_714     -28.9784
4qd6_737     -25.2480
4qd6_790     -30.9902
4qd6_82      -24.6351
4qd6_825     -30.0700
4qd6_835     -28.0568
4qd6_84      -31.4496
4qd6_847     -30.4255
4qd6_85      -31.7932
4qd6_925     -34.8024
4qd6_934     -36.1743
4qd6_939     -34.7469
4qd6_942     -35.2412
4qd6_948     -34.1595
4qd6_954     -35.1635
4qd6_958     -32.4543
4qd6_960     -30.6764
4qd6_971     -31.5168
4qd6_975     -31.9339
4qd6_978     -30.9413
4qd6_ligand  -28.7213
