#code        score   
4tmn_129     -21.0454
4tmn_137     -18.4179
4tmn_141     -24.2876
4tmn_146     -21.0844
4tmn_148     -21.8646
4tmn_150     -13.2934
4tmn_16      -20.2423
4tmn_164     -32.3233
4tmn_192     -21.2964
4tmn_196     -28.1761
4tmn_208     -47.8528
4tmn_209     -53.4275
4tmn_214     -22.6228
4tmn_215     -44.5435
4tmn_218     -48.1868
4tmn_224     -51.7847
4tmn_229     -45.6371
4tmn_231     -40.1261
4tmn_238     -34.9213
4tmn_242     -35.6200
4tmn_248     -45.1581
4tmn_258     -46.6502
4tmn_260     -43.0889
4tmn_268     -49.0755
4tmn_274     -29.3020
4tmn_275     -51.6216
4tmn_278     -44.1148
4tmn_283     -26.8910
4tmn_290     -23.9378
4tmn_303     -20.9959
4tmn_315     -20.5967
4tmn_324     -46.2568
4tmn_326     -22.8995
4tmn_333     -12.5200
4tmn_359     -30.2851
4tmn_365     -17.7769
4tmn_391     -16.9031
4tmn_392     -20.0205
4tmn_397     -16.2058
4tmn_407     -35.3636
4tmn_418     -32.0339
4tmn_422     -27.9597
4tmn_423     -27.3620
4tmn_442     -29.9347
4tmn_448     -25.2435
4tmn_50      -19.3276
4tmn_501     -19.2684
4tmn_505     -25.3685
4tmn_509     -19.3264
4tmn_523     -10.1835
4tmn_526     -26.8492
4tmn_53      -17.6885
4tmn_534     -14.0564
4tmn_551     -9.9155 
4tmn_554     -24.8900
4tmn_555     -27.9998
4tmn_58      -17.8591
4tmn_60      -18.5367
4tmn_604     -20.0202
4tmn_613     -14.2505
4tmn_653     -21.5216
4tmn_671     -5.0756 
4tmn_673     -22.7619
4tmn_692     -20.4365
4tmn_710     -40.2641
4tmn_715     -39.9930
4tmn_718     -41.0183
4tmn_721     -30.2350
4tmn_722     -39.8129
4tmn_731     -36.1590
4tmn_734     -21.2998
4tmn_738     -20.8234
4tmn_743     -20.9067
4tmn_746     -31.1739
4tmn_754     -29.4180
4tmn_756     -28.0147
4tmn_771     -31.4965
4tmn_78      -18.1980
4tmn_790     -22.3785
4tmn_794     -28.8399
4tmn_801     -44.4754
4tmn_810     -36.5135
4tmn_816     -38.4522
4tmn_823     -39.5901
4tmn_824     -36.8071
4tmn_842     -34.0407
4tmn_854     -35.8895
4tmn_867     -37.7795
4tmn_875     -37.0289
4tmn_878     -35.0588
4tmn_889     -30.1151
4tmn_9       -16.0805
4tmn_91      -17.2793
4tmn_936     -35.9378
4tmn_951     -36.1306
4tmn_952     -40.5798
4tmn_962     -31.4739
4tmn_963     -28.2716
4tmn_989     -34.1629
4tmn_991     -27.6299
4tmn_ligand  -43.3980
