#code        score   
1q8u_140     -133.0295
1q8u_202     -97.3803
1q8u_203     -109.4702
1q8u_214     -147.8225
1q8u_227     -100.3679
1q8u_23      -122.4179
1q8u_237     -102.6761
1q8u_238     -117.3529
1q8u_24      -113.9008
1q8u_246     -109.4348
1q8u_264     -94.8249
1q8u_268     -139.8039
1q8u_270     -124.3765
1q8u_277     -143.3156
1q8u_34      -120.9497
1q8u_342     -115.5678
1q8u_410     -123.2732
1q8u_454     -104.2076
1q8u_497     -119.1905
1q8u_501     -129.4218
1q8u_504     -121.1931
1q8u_509     -85.4067
1q8u_512     -123.7200
1q8u_514     -122.3068
1q8u_53      -150.2516
1q8u_547     -106.6448
1q8u_553     -112.5911
1q8u_555     -115.2323
1q8u_571     -108.3606
1q8u_581     -107.3608
1q8u_582     -121.9851
1q8u_59      -115.3745
1q8u_592     -129.6842
1q8u_593     -95.3610
1q8u_595     -118.7142
1q8u_599     -130.8021
1q8u_605     -106.6054
1q8u_611     -110.2538
1q8u_617     -136.2843
1q8u_623     -107.5525
1q8u_646     -145.2435
1q8u_652     -134.1835
1q8u_653     -113.5491
1q8u_660     -97.0900
1q8u_664     -137.3981
1q8u_668     -80.3226
1q8u_669     -117.3923
1q8u_672     -116.2553
1q8u_678     -113.0066
1q8u_688     -117.8497
1q8u_693     -94.5443
1q8u_701     -140.1125
1q8u_702     -140.4036
1q8u_704     -106.0023
1q8u_726     -113.4892
1q8u_728     -111.8674
1q8u_732     -103.2504
1q8u_734     -122.1945
1q8u_735     -120.7603
1q8u_739     -104.3692
1q8u_741     -114.7860
1q8u_747     -100.2603
1q8u_748     -93.4376
1q8u_757     -119.2104
1q8u_76      -96.0746
1q8u_777     -117.8466
1q8u_782     -124.0670
1q8u_790     -124.5084
1q8u_796     -134.0002
1q8u_8       -112.4457
1q8u_822     -105.6229
1q8u_866     -96.9384
1q8u_875     -103.9071
1q8u_886     -100.9620
1q8u_891     -97.7281
1q8u_901     -132.6002
1q8u_902     -132.2696
1q8u_904     -141.3958
1q8u_909     -135.6031
1q8u_91      -122.5159
1q8u_913     -137.3970
1q8u_923     -109.0329
1q8u_975     -120.6411
1q8u_ligand  -133.8479
